COMM_CODE,COMM_NAME,References
160801,Ta Veaeng Leu,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
190303,Santepheap,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
190305,Thma Kaev,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160802,Ta Veaeng Kraom,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220405,Ou Smach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220403,Kriel,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
130306,Kantuot,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130301,Choam Khsant,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
220503,Ou Svay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
160910,Veun Sai,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220203,Kouk Khpos,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220502,Ph'av,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220504,Preah Pralay,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220104,Trapeang Prei,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
190301,Preaek Meas,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
220103,Trapeang Tav,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
160905,Kaoh Pang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220204,Kouk Mon,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220101,Anlong Veaeng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
130302,Tuek Kraham,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
220201,Ampil,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
160907,Kok Lak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220505,Tumnob Dach,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220401,Bansay Reak,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220105,Thlat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220501,Bak Anlung,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220106,Lumtong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
010701,Banteay Chhmar,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_BanteayMeanchey__01.03.2012.pdf
130304,Rumdaoh Srae,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
130305,Yeang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
220404,Samraong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220506,Trapeang Prasat,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220402,Bos Sbov,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
130303,Pring Thum,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
220202,Beng,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
130207,Kampong Sralau Muoy,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
190302,Sekong,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_StungTreng__01.03.2012.pdf
160103,Nhang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_RatanakKiri__01.03.2012.pdf
220302,Chong Kal,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
220304,Pongro,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_OtdarMeanchey__01.03.2012.pdf
130406,Srayang,http://www.opendevelopmentcambodia.net/references/Economic_Census_of_Cambodia_2011_PreahVihear__01.03.2012.pdf
