map_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cur_status,pre_status,com_invest,reference,last_update,lon,lat
1,Thary Kampong Cham SEZ,Kampong Cham,Memot,Dar,142.14,$69 million,Mr. Chhorn Thary,1931,2007-06-10Z,74,2007-07-15Z,Feb 2014__Infrastructure developing,Jul 2011__Under construction,Not found,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_74__16.07.2007.pdf,2014-06-04T02:34:03Z,106.06695960490217,11.824627381626266
2,Tai Seng Bavet SEZ,Svay Rieng,Bavet,Not found,99,$37 million,Mr. Ly Hong Shin,024,2007-01-03Z,29,2007-04-03Z,"Feb 2014__Infrastructure developing: fencing, landfill and connecting electricity into the zone.",Jul 2011__Operational,11 Compainies,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_29__04.04.2007.pdf,2014-06-04T02:25:25Z,106.10782961458001,11.041229467416898
3,Manhattan (Svay Reing) SEZ,Svay Rieng,Chantrea,Bavet,157,$15 million,Mr. Clement Yang (Taiwan),2942,2005-08-27Z,135,2006-11-28Z,"Feb 2014__The company already built infrastucture, connected power grid from Viet Nam and fenced of the first phase of 70 ha.",Jul 2011__Operational,18 Companies,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_135__29.11.2006.pdf,2014-06-04T02:35:08Z,106.15114135550958,11.054252870929943
4,Goldfame Pak Shun SEZ,Kandal,S'ang,Not found,80,$34 million,Mr. Chan Ji Kvong,025,2007-01-03Z,30,2007-04-03Z,Feb 2014__Infrastructure development: fencing,Jul 2011__Operational,3 Companies,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_30__04.04.2007.pdf,2014-06-04T02:26:24Z,105.02672887164525,11.228403274498206
5,Doung Chhiv Phnom Den SEZ,Takeo,Kiri Vong,Not found,79,Not found,Oknha Doung Chhiv,268,2006-02-19Z,40,2006-08-11Z,Feb 2014__Infrastructure developing: landfill and fencing,Jul 2011__Under construction,Not found,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_140__08.12.2006.pdf,2014-06-04T02:38:31Z,104.80319639103011,10.618137262108922
6,D&M Bavet SEZ,Svay Rieng,Chantrea,Bavet,117.95,$52 million,Ms. Men Pheakdey  Ms. Chhay Noy  Miss. Dy Chendavy,4134,2007-10-31Z,Not found,,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf,2014-04-11T02:59:19Z,106.16686574305102,11.050217650330774
7,Kampot SEZ,Kampot,Kampot,Koh Touch,145,$15 million,Oknha Vinh Huor,1947,2006-05-22Z,03,2007-08-31Z,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,Jul 2011__Under construction,Not found,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_03__09.01.2007.pdf,2014-06-04T02:24:07Z,104.0787128083184,10.569501835043368
8,Phnom Penh SEZ,Phnom Penh,Pur SenChey,"Kantaok,Phleung Chheh Roteh,Boeng Thum",360,$68 million,Ms. Lim Chhiv Ho,268,2006-02-19Z,33,2006-04-18Z,"Feb 2014__Fencing, roads, administrative building, entrance, electricity, water, and telecommunication systems have been installed.",Jul 2011__Operational,37 Companies,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Phnom_Penh_SEZ.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_33__09.04.2006.pdf,2014-06-04T02:29:19Z,104.78432806882834,11.483549801653966
9,Poi Pet O Neang SEZ,Banteay Meanchey,Paoy Paet,"Nimitt, Paoy Paet",467,Not found,Not found,Not found,,Not found,,"Feb 2014__Infrastructure developing: fencing, entrance gate, electric pole.",Jul 2011__Under construction,1 Company,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf; http://www.opendevelopmentcambodia.net/references/Sub_Decree_No_57__01.06.2006.pdf,2014-06-04T02:32:28Z,102.64790094169956,13.669023185855421
10,Neang Kok Koh Kong SEZ,Koh Kong,Mondol Seima,Pak Khlang,335.43,Not found,Not found,Not found,,Not found,,Feb 2014__Infrastructure developing: fencing,Jul 2011__Under construction,2 Companies,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf,2014-04-11T02:59:19Z,102.96467310253374,11.628340360195562
11,Suoy Chheng SEZ,Koh Kong,Mondol Seima,Pak Khlang,100,$14 million,Mrs. Kao Souy Chheng,3391,2002-11-25Z,Not found,,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,http://www.opendevelopmentcambodia.net/references/CDC__22.04.2013.pdf; http://www.opendevelopmentcambodia.net/references/Cambodian_SEZ_Board__01.07.2009.pdf; http://www.opendevelopmentcambodia.net/references/Cambodia_Special_Economic_Zones__00.07.2011.pdf,2014-04-11T02:59:19Z,102.9594733842852,11.628482027115702
