NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,SLR
1,102,10201,Banteay Neang,1
1,102,10202,Bat Trang,1
1,102,10203,Chamnaom,0
1,102,10204,Kouk Ballangk,0
1,102,10205,Koy Maeng,0
1,102,10206,Ou Prasat,1
1,102,10207,Phnum Touch,0
1,102,10208,Rohat Tuek,0
1,102,10209,Ruessei Kraok,1
1,102,10210,Sambuor,0
1,102,10211,Soea,0
1,102,10212,Srah Reang,0
1,102,10213,Ta Lam,0
1,103,10301,Nam Tau,0
1,103,10302,Poy Char,0
1,103,10303,Ponley,1
1,103,10304,Spean Sraeng,0
1,103,10305,Srah Chik,0
1,103,10306,Phnum Dei,0
1,104,10401,Chnuor Mean Chey,0
1,104,10402,Chob Vari,0
1,104,10403,Phnum Lieb,0
1,104,10404,Prasat,0
1,104,10405,Preak Netr Preah,0
1,104,10406,Rohal,1
1,104,10407,Tean Kam,1
1,104,10408,Tuek Chour,0
1,104,10409,Bos Sbov,0
1,105,10501,Changha,0
1,105,10502,Koub,0
1,105,10503,Kuttasat,0
1,105,10505,Samraong,0
1,105,10506,Souphi,0
1,105,10507,Soengh,0
1,105,10509,Ou Beichoan,0
1,106,10602,Kampong Svay,0
1,106,10603,Kaoh Pong Satv,0
1,106,10604,Mkak,0
1,106,10605,Ou Ambel,0
1,106,10606,Phniet,0
1,106,10607,Preah Ponlea,0
1,106,10608,Tuek Thla,0
1,107,10701,Banteay Chhmar,0
1,107,10702,Kouk Romiet,0
1,107,10703,Phum Thmei,0
1,107,10704,Thma Puok,0
1,107,10705,Kouk Kakthen,0
1,107,10706,Kumru,0
1,108,10801,Phkoam,0
1,108,10802,Sarongk,0
1,108,10803,Sla Kram,0
1,108,10804,Svay Chek,0
1,108,10805,Ta Baen,0
1,108,10806,Ta Phou,0
1,108,10807,Treas,0
1,108,10808,Roluos,0
1,109,10901,Boeng Beng,0
1,109,10902,Malai,0
1,109,10903,Ou Sampoar,0
1,109,10904,Ou Sralau,0
1,109,10905,Tuol Pongro,0
1,109,10906,Ta Kong,0
1,110,11001,Nimitt,0
1,110,11002,Paoy Paet,0
2,201,20101,Kantueu Muoy,0
2,201,20102,Kantueu Pir,0
2,201,20103,Bay Damram,0
2,201,20104,Chheu Teal,0
2,201,20105,Chaeng Mean Chey,0
2,201,20106,Phnum Sampov,0
2,201,20107,Snoeng,0
2,201,20108,Ta Kream,0
2,202,20201,Ta Pung,1
2,202,20202,Ta Meun,1
2,202,20203,Ou Ta Ki,1
2,202,20204,Chrey,1
2,202,20205,Anlong Run,0
2,202,20206,Chrouy Sdau,1
2,202,20207,Boeng Pring,1
2,202,20208,Kouk Khmum,1
2,202,20209,Bansay Traeng,1
2,202,20210,Rung Chrey,1
2,203,20301,Tuol Ta Ek,0
2,203,20302,Prek Preah Sdach,1
2,203,20303,Rottanak,1
2,203,20304,Chomkar Somraong,0
2,203,20305,Sla Ket,1
2,203,20306,Kdol Doun Teav,1
2,203,20307,OMal,1
2,203,20308,wat Kor,1
2,203,20309,Ou Char,1
2,203,20310,Svay Por,0
2,204,20401,Bavel,1
2,204,20402,Khnach Romeas,1
2,204,20403,Lvea,0
2,204,20404,Prey Khpos,1
2,204,20405,Ampil Pram Daeum,0
2,204,20406,Kdol Ta Haen,0
2,205,20501,Preaek Norint,0
2,205,20502,Samraong Knong,0
2,205,20503,Preaek Khpob,0
2,205,20504,Preaek Luong,0
2,205,20505,Peam Aek,0
2,205,20506,Prey Chas,0
2,205,20507,Kaoh Chiveang,0
2,206,20601,Moung,1
2,206,20602,Kear,0
2,206,20603,Prey Svay,0
2,206,20604,Ruessei Krang,0
2,206,20605,Chrey,1
2,206,20606,Ta Loas,0
2,206,20607,Kakaoh,0
2,206,20608,Prey Touch,0
2,206,20609,Robas Mongkol,0
2,207,20701,Sdau,0
2,207,20702,Andaeuk Haeb,0
2,207,20703,Phlov Meas,0
2,207,20704,Traeng,0
2,208,20801,Anlong Vil,0
2,208,20802,Norea,0
2,208,20803,Ta Pon,0
2,208,20804,Roka,0
2,208,20805,Kampong Preah,1
2,208,20806,Kampong Prieng,1
2,208,20807,Reang Kesei,0
2,208,20808,Ou Dambang Muoy,1
2,208,20809,Ou Dambang Pir,1
2,208,20810,Vaot Ta Muem,1
2,209,20901,Ta Taok,0
2,209,20902,Kampong Lpov,0
2,209,20903,Ou Samril,0
2,209,20904,Sung,0
2,209,20905,Samlout,0
2,209,20906,Mean Chey,0
2,209,20907,Ta Sanh,0
2,210,21001,Sampov Lun,0
2,210,21002,Angkor Ban,0
2,210,21003,Ta Sda,0
2,210,21004,Santepheap,0
2,210,21005,Serei Mean Chey,0
2,210,21006,Chrey Seima,0
2,211,21101,Phnum Proek,0
2,211,21102,Pech Chenda,0
2,211,21103,Bour,0
2,211,21104,Barang Thleak,0
2,211,21105,Ou Rumduol,0
2,212,21201,Kamrieng,0
2,212,21202,Boeng Reang,0
2,212,21203,Ou Da,0
2,212,21204,Trang,0
2,212,21205,Ta Saen,0
2,212,21206,Ta Krei,0
2,213,21301,Thipakdei,0
2,213,21302,Kaos Krala,0
2,213,21303,Hab,0
2,213,21304,Preah Phos,0
2,213,21305,Doun Ba,0
2,213,21306,Chhnal Moan,0
2,214,21401,Preaek Chik,0
2,214,21402,Prey Tralach,0
3,301,30101,Batheay,1
3,301,30102,Chbar Ampov,1
3,301,30103,Chealea,1
3,301,30104,Cheung Prey,1
3,301,30105,Me Pring,1
3,301,30106,Ph'av,1
3,301,30107,Sambour,1
3,301,30108,Sandaek,1
3,301,30109,Tang Krang,1
3,301,30110,Tang Krasang,1
3,301,30111,Trab,1
3,301,30112,Tumnob,1
3,302,30201,Bos Khnor,0
3,302,30202,Chamkar Andoung,0
3,302,30203,Cheyyou,0
3,302,30204,Lvea Leu,0
