Name,Longitude,Latitude
Ang Tropeang Thmor,103.31667,13.85
Bassac Marsh,105.15,11.28333
Basset Marsh,104.83333,11.65
Boeung Chhmar / Moat Khla,104.23333,12.85
Boeung Prek Lapouv,105.03333,10.71667
Boeung Veal Samnap,105.03333,11.61667
Central Cardamoms,103.53333,11.88333
Chhep,105.5,14.06667
Chhnuk Tru,104.41667,12.53333
Dei Roneat,103.86667,12.81667
Kirirom,103.95,11.3
Koh Kapik,103.03333,11.5
Koh Rong Archipelago,103.25,10.71667
Lomphat,106.63333,13.38333
Lower Stung Sen,104.51667,12.6
Mekong River from Kratie to Laos,105.96667,13.28333
Mondulkiri / Kratie Lowlands,106.63333,12.46667
Northern Santuk,105.11667,12.68333
O Skach,105.13333,13.96667
Phnom Aural,104.15,12.05
Phnom Bokor,104.03333,10.85
Phnom Samkos,102.98333,12.16667
Preah Net Preah / Kra Lanh / Pourk,103.43333,13.43333
Prek Taek Sap,103.68333,10.56667
Prek Toal,103.65,13.11667
Sekong River,106.3,13.98333
Sesan River,107.38333,13.83333
Snoul / Keo Sema / O Reang,107.03333,12.25000001
Sre Ambel,103.68333,11.1
Stung / Chi Kreng / Kampong Svay,104.41667,12.95
Stung / Prasat Balang,104.71667,13.01667
Stung Kampong Smach,103.85,10.61667
Stung Sen / Santuk / Baray,104.88333,12.41667
Upper Srepok Catchment,107.26667,12.96667001
Upper Stung Sen Catchment,104.73333,14
Veal Srongae,104.65,12.6
Virachey,107.18333,14.33333
Western Siem Pang,106.23333,14.11667
Yot Dom,104.98333,14.21667
