Pro_Code,Province,Aq_Pro,Fi_Per1000,SmallS_F_C,Comercial,Marine_F,TT,Consum_g
1,Banteay Meanchey,680,19,7000,1700,0,8700,192
2,Battambang,2500,18,26000,15900,0,41900,197
3,Kampong Cham,2600,19,21500,4500,0,26000,167.9
4,Kampong Chhnang,3600,66,29000,24000,0,53000,196
5,Kampong Speu,3860,1,3400,0,0,3400,141
6,Kampong Thom,4000,39,30000,15000,0,45000,193.5
7,Kampot,1500,15,11000,0,9500,20500,247.5
8,Kandal,14560,38,31000,25000,0,56000,165.5
9,Koh Kong,1350,130,12000,0,42000,54000,246.5
10,Kratie,650,35,8000,1600,0,9600,146.5
11,Mondul Kiri,30,6,600,0,0,600,140
12,Phnom Penh,18000,3,9500,3500,0,13000,157.2
13,Preah Vihear,0,12,400,0,0,400,141
14,Prey Veng,3500,10,19500,3500,0,23000,159.5
15,Pursat,3900,35,25900,13400,0,39300,194
16,Ratanak Kiri,50,11,1050,400,0,1450,143
17,Siem Reap,4170,27,28000,16400,0,44400,192.5
18,Preah Sihanouk,950,51,11250,0,39500,50750,250.5
19,Stung Treng,60,67,7000,1500,0,8500,145
20,Svay Rieng,1900,4,9900,0,0,9900,153
21,Takeo,4120,16,22500,3500,0,26000,161.5
22,Otdar Meanchey,20,5,500,100,0,600,143
23,Kep,0,40,0,0,0,0,245.5
24,Pailin,0,0,0,0,0,0,146
