NCDD_CodeP,Province,Aq_Pro,Fi_Per1000,SmallS_F_C,Comercial,Marine_F,TT,Consum_g,TMCFi,FCFi,MCFi,PFCFi,PMCFi
1,Banteay Meanchey,680,19,7000,1700,0,8700,192,13858,6808,7050,49.13,50.87
2,Battambang,2500,18,26000,15900,0,41900,197,18239,8000,10239,43.86,56.14
3,Kampong Cham,2600,19,21500,4500,0,26000,167.9,6951,1467,5484,21.1,78.9
4,Kampong Chhnang,3600,66,29000,24000,0,53000,196,17889,8936,8953,49.95,50.05
5,Kampong Speu,3860,1,3400,0,0,3400,141,0,0,0,0,0
6,Kampong Thom,4000,39,30000,15000,0,45000,193.5,10465,4842,5623,46.27,53.73
7,Kampot,1500,15,11000,0,9500,20500,247.5,1901,682,1219,35.88,64.12
8,Kandal,14560,38,31000,25000,0,56000,165.5,2595,1165,1430,44.89,55.11
9,Koh Kong,1350,130,12000,0,42000,54000,246.5,7420,3820,3600,51.48,48.52
10,Kratie,650,35,8000,1600,0,9600,146.5,26369,13005,13364,49.32,50.68
11,Mondul Kiri,30,6,600,0,0,600,140,0,0,0,0,0
12,Phnom Penh,18000,3,9500,3500,0,13000,157.2,0,0,0,0,0
13,Preah Vihear,0,12,400,0,0,400,141,0,0,0,0,0
14,Prey Veng,3500,10,19500,3500,0,23000,159.5,9461,2217,7244,23.43,76.57
15,Pursat,3900,35,25900,13400,0,39300,194,15841,7871,7970,49.69,50.31
16,Ratanak Kiri,50,11,1050,400,0,1450,143,2050,1079,971,52.63,47.37
17,Siem Reap,4170,27,28000,16400,0,44400,192.5,25052,10771,14281,42.99,57.01
18,Preah Sihanouk,950,51,11250,0,39500,50750,250.5,4990,1123,3867,22.51,77.49
19,Stung Treng,60,67,7000,1500,0,8500,145,10233,4334,5899,42.35,57.65
20,Svay Rieng,1900,4,9900,0,0,9900,153,0,0,0,0,0
21,Takeo,4120,16,22500,3500,0,26000,161.5,60945,28093,32852,46.1,53.9
22,Otdar Meanchey,20,5,500,100,0,600,143,0,0,0,0,0
23,Kep,0,40,0,0,0,0,245.5,546,220,326,40.29,59.71
24,Pailin,0,0,0,0,0,0,146,0,0,0,0,0
