longitude,latitude,name,lsize_ha,province,district,commune,status,last_update
104.2125862,10.70518656,Phnom Chub,295,Kampot,Kampot,Thmey,Approved by MAFF,2014-02-02T17:00:00Z
104.1975815,10.76731217,Phnom Toteung Tngey,115,Kampot,Kampot,Steung Keo,Submitted to MAFF,2014-02-02T17:00:00Z
104.6082358,10.77692061,Phnom Senhan,914,Kampot,Angkor Chey,Dambok Khpos,Approved by MAFF,2014-02-02T17:00:00Z
104.2960503,10.59124721,Konsat,204,Kampot,Kampot,Konsat,Submitted to MAFF,2014-02-02T17:00:00Z
104.3315334,10.84620916,Phnom Thnaot,458,Kampot,Chhouk,Lbeuk,Approved by MAFF,2014-02-02T17:00:00Z
104.34686,10.90801839,Phnom Krong,122,Kampot,Chhouk,Taken,Submitted to MAFF,2014-02-02T17:00:00Z
104.6553649,10.72450332,Phnom Morom,133,Kampot,Angkor Chey,Morom,Approved by MAFF,2014-02-02T17:00:00Z
104.3588198,10.86516821,Phnom Khla Khampen,452,Kampot,Chhouk,Taken,Approved by MAFF,2014-02-02T17:00:00Z
104.4261483,10.52984112,Phnom Thkov,49,Kampot,Kampong Traach,Kampong Traacg Khanglech,Approved by MAFF,2014-02-02T17:00:00Z
104.6348962,10.72587276,Chrey Prateak Krala,154,Kampot,Banteay Meas,Trapeang Sala Khang Keut,Approved by MAFF,2014-02-02T17:00:00Z
104.6480622,10.72070571,Deum Doung,289,Kampot,Angkor Chey,Deum Doung,Approved by MAFF,2014-02-02T17:00:00Z
104.3955325,10.98425609,Ta Teann,1190,Kampot,Chumkiri,Snay Angchet,Submitted to MAFF,2014-02-02T17:00:00Z
104.3373033,10.93441389,Phnom Thom Chamnong Samaki,1015,Kampot,Chhouk,Taken,Agreement signed,2014-02-02T17:00:00Z
104.2357686,10.97824479,Phnom Chan Ek,69,Kampot,Chhouk,Taken,Agreement signed,2014-02-02T17:00:00Z
104.2680896,10.9841481,Samaki Phnom Cheammlo Taken,1661,Kampot,Chhouk,Taken,Submitted to MAFF,2014-02-02T17:00:00Z
104.2635609,10.84591849,Trapeang Sdao,341,Kampot,Chhouk,Trapeang Pleang,Agreement signed,2014-02-02T17:00:00Z
104.267924,10.85750444,Srae Leav,31,Kampot,Chhouk,Trapeang Pleang,Approved by MAFF,2014-02-02T17:00:00Z
104.4979976,10.99633481,Damnak Neakta Thmapoun,985,Kampot,Chumkiri,Srae Khnong,Agreement signed,2014-02-02T17:00:00Z
104.5030615,11.02788749,Thmasa Roung Khla,590,Kampot,Chumkiri,Srae Cheang,Agreement signed,2014-02-02T17:00:00Z
104.4992858,10.95430183,Prey Khmao,197,Kampot,Chumkiri,Srae Khnong,Agreement signed,2014-02-02T17:00:00Z
104.4963869,10.93667086,Damnak Rolous Bovo Thmathom,586,Kampot,Chumkiri,Srae Samraong,Agreement signed,2014-02-02T17:00:00Z
104.3991798,11.0317238,Khnong Phnom Takul,567,Kampot,Chumkiri,Srea Cheang,Submitted to MAFF,2014-02-02T17:00:00Z
104.6269165,10.72988787,Phnom Dounbun,205,Kampot,Banteay Meas,Trapeang Sala Khanglech,Approved by MAFF,2014-02-02T17:00:00Z
104.2025507,10.70337952,Phnom Chub Chros Kangkeb,85,Kampot,Teuk Chhou,Prey Khmum,Agreement signed,2014-02-02T17:00:00Z
103.9831421,10.59176722,Preak Thnaot,1007,Kampot,Teuk Chhou,Preak Thnaot,Agreement signed,2014-02-02T17:00:00Z
104.3898291,10.64082166,Phnom Toteb,723,Kampot,Dang Tong,Srea Chea Khang Tboung,Agreement signed,2014-02-02T17:00:00Z
104.2991821,10.72470114,Phnom Kub Thyoung,121,Kampot,Teuk Chhou,Prey Thnong,Agreement signed,2014-02-02T17:00:00Z
104.5361591,11.01336146,Trapeang Thom Khang Tboung,582,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.858912,10.60833591,Chros Phaaok,1587,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.8423046,10.63716996,Payong Kao,875,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.8233315,10.60841742,Moha Sei,1581,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.8463134,10.57368162,Ou Tavam,1169,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.8217084,10.56949929,Preah Sbok Chrak Tamann,538,Takeo,,,Approved by MAFF,2014-02-02T17:00:00Z
104.7456577,10.67955961,Ream Andeuk,691,Takeo,,,Submitted to MAFF,2014-02-02T17:00:00Z
