longitude,latitude,vil_code,village,school_name,school_dist
103.0356394,13.51566147,1020101,Ou Thum,Hun Sen Mongkol Borei,1965.147676
103.0180921,13.51552323,1020102,Phnum,Hun Sen Mongkol Borei,1151.811987
103.018122,13.51190849,1020103,Banteay Neang,Hun Sen Mongkol Borei,1542.691019
103.0089468,13.50460582,1020104,Kouk Pnov,Hun Sen Mongkol Borei,2648.018959
103.0098253,13.51003524,1020105,Trang,Hun Sen Mongkol Borei,2084.613499
103.0056379,13.5015791,1020106,Pongro,Hun Sen Mongkol Borei,3117.196615
103.0146147,13.48928716,1020107,Kouk Tonloab,Hun Sen Mongkol Borei,4074.151721
103.0275355,13.49029282,1020108,Trabaek,Hun Sen Mongkol Borei,3981.637459
103.0247874,13.48755996,1020109,Khile,Hun Sen Mongkol Borei,4237.103236
103.0321379,13.49213647,1020110,Samraong Pen,Hun Sen Mongkol Borei,3910.751392
103.0354146,13.49348163,1020111,Dang Run Lech,Hun Sen Mongkol Borei,3901.718442
103.0440987,13.49765255,1020112,Dang Run Kaeut,Hun Sen Mongkol Borei,4006.082346
103.0166479,13.46670962,1020113,Ou Snguot,Phnom Thom,3860.734189
103.0279543,13.46737701,1020114,Prey Changha Lech,Phnom Thom,4181.414505
103.0331512,13.46761656,1020115,Prey Changha Kaeut,Phnom Thom,4429.49243
103.0359373,13.4679366,1020116,Ou Andoung Lech,Phnom Thom,4603.897468
103.0405877,13.4661202,1020117,Ou Andoung Kandal,Phnom Thom,4711.436732
103.0546188,13.46901281,1020118,Ou Andoung Kaeut,Phnom Thom,5961.66864
103.072021,13.47075566,1020119,Kouk Kduoch,Phnom Thom,7549.388842
102.989546,13.50535468,1020201,Khtum Reay Lech,Hun Sen Mongkol Borei,4044.319029
102.9903346,13.50272211,1020202,Khtum Reay Kaeut,Hun Sen Mongkol Borei,4145.065634
102.9885543,13.51348028,1020203,Anlong Thngan Kaeut,Hun Sen Mongkol Borei,3723.349379
102.9866997,13.51436911,1020204,Anlong Thngan Lech,Hun Sen Mongkol Borei,3878.548854
102.9903104,13.52433913,1020205,Bang Bat Lech,Hun Sen Mongkol Borei,3284.891892
102.9921575,13.52435395,1020206,Bang Bat Kaeut,Hun Sen Mongkol Borei,3085.027587
102.9911658,13.53247956,1020207,Bat Trang,Hun Sen Mongkol Borei,3277.827297
102.9865251,13.53515342,1020208,Bat Trang Thum Lech,Hun Sen Mongkol Borei,3838.88104
102.9892883,13.53607938,1020209,Bat Trang Thum Kaeut,Hun Sen Mongkol Borei,3583.855304
102.9883039,13.54330128,1020210,Bang Bat Touch,Mongkol Borei,3914.175667
102.9845485,13.55050083,1020211,Preaek Chik,Serei Sophoan,4404.831127
102.9557742,13.45298235,1020301,Pralay Char,Raung Ko,4225.48562
