NCDD_CodeP,Province,Neo_Mort,U5_Mort
1,Banteay Meanchey,26,76
2,Battambang,28,54
3,Kampong Cham,33,58
4,Kampong Chhnang,45,97
5,Kampong Speu,39,73
6,Kampong Thom,29,67
7,Kampot,44,73
8,Kandal,34,69
9,Koh Kong,20,63
10,Kratie,47,86
11,Mondul Kiri,30,106
12,Phnom Penh,8,18
13,Preah Vihear,29,118
14,Prey Veng,34,74
15,Pursat,29,57
16,Ratanak Kiri,30,106
17,Siem Reap,28,60
18,Preah Sihanouk,20,63
19,Stung Treng,29,118
20,Svay Rieng,27,93
21,Takeo,37,84
22,Otdar Meanchey,20,47
23,Kep,44,73
24,Pailin,28,54
