Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_Per_HH,TOT_HH,Rounds,Scale
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020101,Ou Thum,21,23,0.106,0.116,0.222,44,2010,3
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020102,Phnum,29,19,0.134,0.088,0.221,48,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020103,Banteay Neang,57,43,0.147,0.111,0.258,100,2010,2
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020104,Kouk Pnov,27,8,0.174,0.052,0.226,35,2010,2
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020105,Trang,31,4,0.211,0.027,0.238,35,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020106,Pongro,13,25,0.051,0.098,0.148,38,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020107,Kouk Tonloab,28,25,0.094,0.084,0.177,53,2010,2
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020108,Trabaek,19,7,0.157,0.058,0.215,26,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020109,Khile,35,13,0.158,0.059,0.216,48,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020110,Samraong Pen,24,13,0.155,0.084,0.239,37,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020111,Dang Run Lech,37,17,0.152,0.07,0.222,54,2010,2
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020112,Dang Run Kaeut,12,25,0.071,0.147,0.218,37,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020113,Ou Snguot,22,15,0.116,0.079,0.196,37,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020114,Prey Changha Lech,45,5,0.196,0.022,0.217,50,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020115,Prey Changha Kaeut,16,6,0.203,0.076,0.278,22,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020116,Ou Andoung Lech,15,9,0.161,0.097,0.258,24,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020117,Ou Andoung Kandal,20,14,0.117,0.082,0.199,34,2010,1
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020118,Ou Andoung Kaeut,82,29,0.186,0.066,0.251,111,2010,2
Banteay Meanchey,Mongkol Borei,Banteay Neang,1020119,Kouk Kduoch,17,19,0.085,0.095,0.181,36,2010,4
Banteay Meanchey,Mongkol Borei,Bat Trang,1020201,Khtum Reay Lech,5,10,0.078,0.156,0.234,15,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020202,Khtum Reay Kaeut,17,37,0.107,0.233,0.34,54,2010,2
Banteay Meanchey,Mongkol Borei,Bat Trang,1020203,Anlong Thngan Kaeut,28,9,0.117,0.038,0.155,37,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020204,Anlong Thngan Lech,17,23,0.089,0.12,0.208,40,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020205,Bang Bat Lech,19,23,0.173,0.209,0.382,42,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020206,Bang Bat Kaeut,5,24,0.038,0.18,0.218,29,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020207,Bat Trang,7,23,0.065,0.213,0.278,30,2010,2
Banteay Meanchey,Mongkol Borei,Bat Trang,1020208,Bat Trang Thum Lech,12,34,0.091,0.258,0.348,46,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020209,Bat Trang Thum Kaeut,4,12,0.029,0.087,0.116,16,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020210,Bang Bat Touch,7,7,0.04,0.04,0.08,14,2010,1
Banteay Meanchey,Mongkol Borei,Bat Trang,1020211,Preaek Chik,10,19,0.093,0.176,0.269,29,2010,4
