Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Basedth,5010101,Preychertel,12,12,0.122,0.122,0.245,24,2011,1
Kampong Speu,Basedth,Basedth,5010102,Preykoktrob,8,12,0.045,0.067,0.112,20,2011,1
Kampong Speu,Basedth,Basedth,5010103,Preykley,5,9,0.043,0.077,0.12,14,2011,1
Kampong Speu,Basedth,Basedth,5010104,Trapangchuk,9,16,0.076,0.134,0.21,25,2011,1
Kampong Speu,Basedth,Basedth,5010105,Boeng Sdok,7,24,0.064,0.22,0.284,31,2011,1
Kampong Speu,Basedth,Basedth,5010106,Boeng Sangkae,3,9,0.045,0.136,0.182,12,2011,1
Kampong Speu,Basedth,Basedth,5010107,Srae Traok,3,16,0.033,0.176,0.209,19,2011,1
Kampong Speu,Basedth,Basedth,5010108,Tmat Leng,18,12,0.142,0.094,0.236,30,2011,1
Kampong Speu,Basedth,Basedth,5010109,Sampoar,11,6,0.073,0.04,0.113,17,2011,1
Kampong Speu,Basedth,Basedth,5010110,Chamkar Tuol,9,4,0.112,0.05,0.162,13,2011,1
Kampong Speu,Basedth,Basedth,5010111,Prey Rumduol Khang Kaeut,12,19,0.095,0.151,0.246,31,2011,1
Kampong Speu,Basedth,Basedth,5010112,Prey Rumduol Khang Tboung,9,11,0.057,0.069,0.126,20,2011,1
Kampong Speu,Basedth,Basedth,5010113,Boeng Thnong,16,26,0.094,0.153,0.247,42,2011,1
Kampong Speu,Basedth,Basedth,5010114,Prey Rumduol Khang Lech,3,14,0.019,0.09,0.11,17,2011,1
Kampong Speu,Basedth,Basedth,5010115,Prey Rumduol Khang Cheung,2,9,0.011,0.05,0.061,11,2011,1
Kampong Speu,Basedth,Basedth,5010116,Tuol Khcheay,31,10,0.27,0.087,0.357,41,2011,1
Kampong Speu,Basedth,Basedth,5010117,Khpob Veaeng,14,17,0.141,0.172,0.313,31,2011,1
Kampong Speu,Basedth,Basedth,5010118,Kanlang,3,22,0.028,0.204,0.231,25,2011,2
Kampong Speu,Basedth,Basedth,5010119,Chas,14,21,0.086,0.13,0.216,35,2011,1
Kampong Speu,Basedth,Basedth,5010120,Trapeang Phong,3,4,0.045,0.06,0.104,7,2011,2
Kampong Speu,Basedth,Basedth,5010121,Kromhun,10,15,0.074,0.111,0.185,25,2011,1
Kampong Speu,Basedth,Basedth,5010122,Ta Prach,33,18,0.287,0.157,0.443,51,2011,2
Kampong Speu,Basedth,Kat Phluk,5010201,Kraol Krasang,21,34,0.147,0.238,0.385,55,2011,2
Kampong Speu,Basedth,Kat Phluk,5010202,Roka kaong,23,47,0.101,0.207,0.308,70,2011,2
Kampong Speu,Basedth,Kat Phluk,5010203,Prey Sampoar,7,26,0.036,0.133,0.169,33,2011,1
Kampong Speu,Basedth,Kat Phluk,5010204,Thlok Bei,14,28,0.083,0.167,0.25,42,2011,1
Kampong Speu,Basedth,Kat Phluk,5010205,Veal Lvieng,21,23,0.095,0.105,0.2,44,2011,1
Kampong Speu,Basedth,Kat Phluk,5010206,Youl Toung,10,4,0.196,0.078,0.275,14,2011,1
Kampong Speu,Basedth,Kat Phluk,5010207,Roka Thum,8,14,0.096,0.169,0.265,22,2011,1
Kampong Speu,Basedth,Kat Phluk,5010208,Phnum Kaub,26,35,0.129,0.173,0.302,61,2011,2
Kampong Speu,Basedth,Kat Phluk,5010209,Chambak,12,18,0.081,0.122,0.203,30,2011,1
Kampong Speu,Basedth,Kat Phluk,5010210,Ou,14,11,0.101,0.08,0.181,25,2011,1
Kampong Speu,Basedth,Kat Phluk,5010211,Trapeang Peuk,37,36,0.171,0.167,0.338,73,2011,1
Kampong Speu,Basedth,Nitean,5010301,Dei Kraham,26,8,0.191,0.059,0.25,34,2011,2
Kampong Speu,Basedth,Nitean,5010302,Trapeang Tuk,26,22,0.129,0.109,0.239,48,2011,1
Kampong Speu,Basedth,Nitean,5010303,Tram Kang,35,29,0.144,0.119,0.263,64,2011,1
Kampong Speu,Basedth,Nitean,5010304,Hangs,20,8,0.171,0.068,0.239,28,2011,1
Kampong Speu,Basedth,Nitean,5010305,Trapeang Sdau,10,19,0.147,0.279,0.426,29,2011,1
Kampong Speu,Basedth,Nitean,5010306,Trapeang Chhuk,19,18,0.194,0.184,0.378,37,2011,1
Kampong Speu,Basedth,Nitean,5010307,Noreay,11,22,0.128,0.256,0.384,33,2011,1
Kampong Speu,Basedth,Nitean,5010308,Trapeang Khyang,13,12,0.116,0.107,0.223,25,2011,1
Kampong Speu,Basedth,Nitean,5010309,Trapeang Khnar,12,20,0.129,0.215,0.344,32,2011,1
Kampong Speu,Basedth,Nitean,5010310,Trapeang Sala,22,6,0.214,0.058,0.272,28,2011,2
Kampong Speu,Basedth,Nitean,5010311,Pou Tbaeng,15,15,0.156,0.156,0.312,30,2011,1
Kampong Speu,Basedth,Nitean,5010312,Krasang Ta Kong,23,14,0.128,0.078,0.207,37,2011,1
Kampong Speu,Basedth,Nitean,5010313,Trapeang Andoung,10,12,0.088,0.106,0.195,22,2011,1
Kampong Speu,Basedth,Nitean,5010314,Trapeang Rumdenh,25,21,0.155,0.13,0.286,46,2011,1
Kampong Speu,Basedth,Nitean,5010315,Serei Andaet,9,16,0.167,0.296,0.463,25,2011,1
Kampong Speu,Basedth,Pheakdei,5010401,Chrak Preal,7,17,0.034,0.082,0.116,24,2011,1
Kampong Speu,Basedth,Pheakdei,5010402,Prey Rumdael,7,19,0.042,0.114,0.156,26,2011,1
Kampong Speu,Basedth,Pheakdei,5010403,Prey Khla,4,12,0.033,0.1,0.133,16,2011,1
Kampong Speu,Basedth,Pheakdei,5010404,Chhuk Roadth,10,25,0.104,0.26,0.365,35,2011,1
Kampong Speu,Basedth,Pheakdei,5010405,Kouk Kandal,8,10,0.045,0.056,0.101,18,2011,2
Kampong Speu,Basedth,Pheakdei,5010406,Sahakkom Khang Kaeut,4,21,0.034,0.179,0.214,25,2011,1
Kampong Speu,Basedth,Pheakdei,5010407,Sahakkom Khang Lech,10,13,0.064,0.083,0.147,23,2011,1
Kampong Speu,Basedth,Pheakdei,5010408,Ou Ta Pung,21,24,0.148,0.169,0.317,45,2011,1
Kampong Speu,Basedth,Pheakdei,5010409,Ta Nok,16,19,0.168,0.2,0.368,35,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010501,Preah Mlob,4,32,0.018,0.145,0.163,36,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010502,Thmei,5,22,0.023,0.103,0.126,27,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010503,Prey Kanhchan,5,29,0.055,0.319,0.374,34,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010504,Das Skor,4,11,0.085,0.234,0.319,15,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010505,Prey Ngoung,6,42,0.036,0.253,0.289,48,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010506,Pheari,3,28,0.021,0.194,0.215,31,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010507,Ta Thomm,7,43,0.049,0.303,0.352,50,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010508,Trapeang Phlong,6,77,0.034,0.44,0.474,83,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010509,Prey Roung,7,44,0.047,0.295,0.342,51,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010510,Ta Saom Ak,6,45,0.07,0.523,0.593,51,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010511,Samraong Pong Tuek,8,46,0.058,0.331,0.388,54,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010512,Sach Trei,6,27,0.048,0.216,0.264,33,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010513,Tuek Thla,6,24,0.057,0.226,0.283,30,2011,1
Kampong Speu,Basedth,Phong,5010601,Boeng Ta Mom,13,11,0.071,0.06,0.13,24,2011,1
