Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Ta Veaeng Leu,66007,0,0,20,4,1201,0,0,0
Santepheap,19619,0,0,0,0,0,0,0,0
Tma Kaev,37548,0,0,0,0,0,0,0,0
Ta Veaeng Kraom,1596.997,0,0,0,0,0,0,0,0
Ou Smach,6930.7,8,5,60,40,0,0,374,5
Koun Kriel,62576,0,0,213,40,0,0,42,20
Kantuot,25166,0,0,150,8,0,0,0,0
Choam Ksant,36534,2,1.5,10,1.5,7,0,0,0
Ou Svay,22580,9,1,513,20,20,5,5,5
Veun Sai,7085,10.3,1,85,4,24,0.8,0,0
Kouk Khpos,31905,5,2,150,4,0,0,0,0
Ph'av,19428,10,2.5,130,20,8,2,10,5
Preah Pralay,19909,5,2,264,25,15,0,5,20
Trapeang Prei,32422,3,5,200,35,0.5,0.5,0,0
Preaek Meas,74811,0,0,0,0,15,0,0,0
Trapeang Tav,32938,1,2,1000,5,15,1,7,10
Kaoh Pang,3002,3,5,5,3,130,5,0,0
Kouk Mon,19557,3,0.5,500,15,0,0,0,0
Anlong Veaeng,25900,11,1,120,60,0,8,25,10
Tuek Kraham,66547.98,0,0,100,6,0,0,0,0
Ampil,34784,0,0,362,4,3,0,0,0
Kok Lak,25000,0,0,15,8,80,1,0,0
Tumnob Dach,17260,20,1.2,207,15,0,0,0,0
Bansay Reak,24023,0,0,0,0,0,0,0,0
Thlat,16500,0,0,25,5,10,0,0,0
Bak Anloung,14100,2,2,267,20,0,1,4,5
Lumtong,58200,20,6.5,180,25,0,1.5,40,3.5
Banteay Chhmar,36404.14,8,5,8156,20,0,0,51,1
Rumdaoh Srae,3183980,0,0,0,0,0,0,0,0
Yeang,680181.5,0,0,0,0,0,0,0,0
Samraong,35921,0,0,85,25,0,0,0,0
Trapeang Prasat,91977,13,1.5,17921,20,0,1.5,73,1
Bos Sbov,14646,0,0,150,4,0,0,0,0
Pring Thum,792664.8,0,0,0,0,0,0,0,0
Beng,34552,0,0,1694,5,0,0,0,0
Kampong Sralau Muoy,622162,0,0,10,2.5,2,0,10.5,0.5
Sekong,77319,0,0,0,0,0,0,0,0
Nhang,25419,94,5,123,3,20,2,0,0
Chong Kal,15450,0,0,40,10,0,0,0,0
Pongro,28177,0,0,170,25,0,0,0,0
Srayang,111161.6,434,5,35,2,12,0,24,40
Krasang,15400,0,0,513,15,0,0,0,0
Srae Sambour,70065,0,0,0,0,0,0,0,0
Kaoh Peak,4858,10,0.5,79.5,3,5,3.5,0,0
Sangkae Muoy,32900,9,1.5,6,5,0,2,0,0
Mlu Prey Muoy,332377,5,3,3,2,0,3,2,2.5
Kouk Romiet,18828.115,40,2,1568,45,0,0,24,2.2
Kumru,7252,0,0,223.5,25,0,0,0,0
Kampong Sralau Pir,199009.163,8,3,5,10,0,8,3,5
Chhaeb Pir,52276,0,0,0,0,0,0,0,0
Ta Lav,18495,0,0,14,1,1350,2,0,0
Thma Puok,7272.689,0,0,500,20,0,0,0,0
Nam Tau,0,0,0,0,0,0,0,0,0
Pa Kalan,7224,15,15,150,4.5,16,115,11,15
Ka Choun,3017,0,0,700,15,16,1.5,0,0
Kuleaen Cheung,34430,0,0,0,0,0,1,0,0
Pong,70487,10.3,1,84.5,4,0,0.6,0,0
Pouy,12675,0,0,23,4,651,1,0,0
Cheung Tien,11000,0,0,731,15,0,0,0,0
Slaeng Spean,8952,0,0,400,50,0,0,0,0
Poy Char,18000,0,0,950,8,0,0,5,1
Varin,20194,7,1,135,3,0,0,0,0
Lvea Krang,13309,0,0,62,15,0,0.5,0,0
Srae Nouy,50737,15,2,518,25,5,0,0,0
Phnum Kok,18495,0,0,14,4,103,2,0,0
Kantuot,88550,0,0,0,0,3,1,0,0
Kouk Kakthen,9744,0,0,0,0,0,0,0,0
Ponley,11890,6,0.5,2100,24,0,0,0,0
Thmei,27900,0,0,0,0,9,0,0,0
Phum Thmei,3496,0,0,311,20,0,0,5,5
Svay Chek,21420,0,0,0,0,0,0,0,0
Treas,23968,0,0,3050,20,0,0,0,0
L'ak,3269.2,0,0,504,9,354,0,0,0
Preah Rumkel,35440,18,1,80,8,0.5,1,0,0
Pou,39000,0,0,10,60,3,0,0,0
Chhean Mukh,10803.35,0,0,0,0,1,1,0,0
Prame,15000,0,0,0,0,0,1,0,0
Ou Svay,11720,7,0.7,96,4,161,0.5,0.5,0
Sameakki,51247,32,1.5,124,10,139,1.5,0.5,1
Malik,7085,10,1,85,4,9,1.5,0,0
Kalai,7190,0,0,40,3,0,0,0,0
Chrouy Neang Nguon,11791,0,0,6,8,0,1,1,0.5
Ou Chum,22287,0,0,612,8,0,2.5,0,0
Klang Hay,1792,0,0,0,0,29,0,0,0
Prasat,15349,0,0,25,10,0,0,5,8
