NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,TT_Family,Commune_S,Corn_Ha,Corn_Yield,Cass_Ha,Cass_Yield,Cash_Ha,Cash_Yield,Mang_Ha,Mang_Yield,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff,RLUn_1Ha_N,RLUn_1Ha_P,Per_HH_El,Fami_Impro,Fami_Unim,RatImpLatH,RiField_Ha,Ratio
1,102,10201,Banteay Neang,4206,0,0,0,0,0,0,0,0,0,440,1038,2205,10847,175,36322,322,631,0,0,2.3591,19.8189,1.9596,0,1051,24.9881,58.655109,1299,328,30.884451,0,0
1,102,10202,Bat Trang,1706,4069,5,1.5,0,0,0,0,0,0,69,218,1054,3395,64,6559,54,126,0,0,3.1594,8.9034,2.3333,0,152,8.9097,78.753351,596,243,34.935522,3269,80.34
1,102,10203,Chamnaom,3690,8186,0,0,0,0,0,0,0,0,146,1861,1714,9287,79,6096,206,582,0,0,12.7466,8.5795,2.8252,0,620,16.8022,8.05249,870,639,23.577236,6375,77.88
1,102,10204,Kouk Ballangk,1460,3837,2,1.5,0,0,0,0,0,0,133,360,835,3288,89,3625,90,209,0,0,2.7068,7.4816,2.3222,0,183,12.5342,32.593037,417,204,28.561644,3493,91.03
1,102,10205,Koy Maeng,1687,2034,0,0,0,0,0,0,0,0,133,540,863,5605,49,12110,89,253,0,0,4.0602,19.4243,2.8427,0,358,21.2211,75.807723,465,206,27.563723,1741,85.59
1,102,10206,Ou Prasat,3330,2510,5,2,0,0,0,0,1,4,302,833,1651,4462,116,1686,240,576,0,0,2.7583,3.4793,2.4,0,897,26.9369,86.452005,1314,333,39.459459,1910,76.1
1,102,10207,Phnum Touch,2642,3355,10,2.5,1,2,0,0,0,0,242,700,1762,6162,87,575,125,267,0,0,2.8926,3.6436,2.136,0,435,16.4648,66.799822,831,506,31.453444,3025,90.16
1,102,10208,Rohat Tuek,2732,6165,5,5,0,0,0,0,0,0,86,489,1089,4584,94,887,209,524,0,0,5.686,4.6247,2.5072,0,547,20.022,39.389131,1081,251,39.568082,3716,60.28
1,102,10209,Ruessei Kraok,5168,4002,2,1.5,0,0,0,0,0,0,350,656,1674,18115,63,27381,106,290,0,0,1.8743,26.1923,2.7358,0,928,17.9567,94.230325,3750,528,72.56192,2107,52.65
1,102,10210,Sambuor,1534,10453,0,0,0,0,0,0,0,0,514,962,1066,4645,98,621,65,258,0,0,1.8716,4.5241,3.9692,0,110,7.1708,12.019231,31,34,2.02086,2744,26.25
