Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
160801,Ta Veaeng Leu,918,124,13.5076
190303,Santepheap,813,84,10.3321
190305,Tma Kaev,609,36,5.9113
160802,Ta Veaeng Kraom,669,196,29.2975
220405,Ou Smach,2353,0,0
220403,Koun Kriel,4336,354,8.1642
130306,Kantuot,1203,174,14.4638
130301,Choam Ksant,1968,185,9.4004
220503,Ou Svay,1423,161,11.3141
160910,Veun Sai,649,82,12.6348
220203,Kouk Khpos,1168,14,1.1986
220502,Ph'av,1209,90,7.4442
220504,Preah Pralay,1179,163,13.8253
220104,Trapeang Prei,1832,408,22.2707
190301,Preaek Meas,650,30,4.6154
220103,Trapeang Tav,1853,195,10.5235
160905,Kaoh Pang,217,75,34.5622
220204,Kouk Mon,2871,131,4.5629
220101,Anlong Veaeng,2666,554,20.7802
130302,Tuek Kraham,1351,20,1.4804
220201,Ampil,3404,198,5.8167
160907,Kok Lak,441,173,39.229
220505,Tumnob Dach,921,77,8.3605
220401,Bansay Reak,1992,331,16.6165
220105,Thlat,814,151,18.5504
220501,Bak Anloung,527,118,22.3909
220106,Lumtong,1661,121,7.2848
10701,Banteay Chhmar,3611,451,12.4896
130304,Rumdaoh Srae,857,65,7.5846
130305,Yeang,1271,354,27.8521
220404,Samraong,3796,431,11.3541
220506,Trapeang Prasat,4258,299,7.0221
220402,Bos Sbov,1085,59,5.4378
130303,Pring Thum,529,23,4.3478
220202,Beng,3028,89,2.9392
130207,Kampong Sralau Muoy,482,221,45.8506
190302,Sekong,1039,229,22.0404
160103,Nhang,1370,88,6.4234
220302,Chong Kal,1724,414,24.0139
220304,Pongro,1050,20,1.9048
130406,Srayang,2460,425,17.2764
220303,Krasang,1366,96,7.0278
190304,Srae Sambour,846,273,32.2695
160906,Kaoh Peak,710,0,0
130203,Sangkae Muoy,309,22,7.1197
130205,Mlu Prey Muoy,405,25,6.1728
10702,Kouk Romiet,4558,998,21.8956
10706,Kumru,1808,172,9.5133
130208,Kampong Sralau Pir,430,55,12.7907
130202,Chhaeb Pir,552,5,0.9058
160104,Ta Lav,542,76,14.0221
10704,Thma Puok,1969,82,4.1646
10301,Nam Tau,2636,267,10.129
160908,Pa Kalan,284,0,0
160904,Ka Choun,502,120,23.9044
130402,Kuleaen Cheung,764,0,0
160901,Pong,503,55,10.9344
160602,Pouy,705,21,2.9787
220301,Cheung Tien,1033,50,4.8403
171206,Slaeng Spean,2063,607,29.4232
10302,Poy Char,2519,431,17.11
171405,Varin,1767,352,19.9208
171402,Lvea Krang,653,133,20.3675
171403,Srae Nouy,3577,547,15.2921
160909,Phnum Kok,364,53,14.5604
171302,Kantuot,1576,182,11.5482
10705,Kouk Kakthen,1727,503,29.1257
10303,Ponley,2829,620,21.9159
130403,Thmei,699,68,9.7282
10703,Phum Thmei,1621,566,34.9167
10804,Svay Chek,2336,349,14.9401
10807,Treas,2804,263,9.3795
160607,L'ak,676,5,0.7396
190508,Preah Rumkel,1120,131,11.6964
130704,Pou,614,20,3.2573
130703,Chhean Mukh,489,46,9.407
130705,Prame,566,297,52.4735
190507,Ou Svay,654,268,40.9786
190404,Sameakki,1050,90,8.5714
160101,Malik,644,57,8.8509
160604,Kalai,359,24,6.6852
171201,Chrouy Neang Nguon,1321,338,25.5867
160605,Ou Chum,1021,79,7.7375
171202,Klang Hay,678,75,11.0619
171401,Prasat,968,245,25.3099
160606,Sameakki,704,9,1.2784
190107,Ta Lat,800,48,6
160903,Hat Pak,319,48,15.047
171205,Prei,793,38,4.7919
190505,Anlong Chrey,556,7,1.259
10801,Phkoam,2298,479,20.8442
130201,Chhaeb Muoy,793,491,61.9168
190509,Sam Ang,412,15,3.6408
170106,Srae Khvav,1714,187,10.9102
160706,Saom Thum,541,197,36.414
160301,Kak,639,15,2.3474
160302,Keh Chong,883,16,1.812
10803,Sla Kram,2525,440,17.4257
10808,Roluos,967,119,12.3061
190105,Sdau,474,157,33.1224
190104,Samkhuoy,566,53,9.364
190106,Srae Kor,427,0,0
130802,Pal Hal,2276,269,11.819
