NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
16,1608,D,C,160801,160801,160801,Ta Veaeng Leu,12.532637
19,1903,D,C,190303,190303,190303,Santepheap,0.755668
19,1903,D,C,190305,190305,190305,Tma Kaev,19.471947
16,1608,D,C,160802,160802,160802,Ta Veaeng Kraom,0
22,2204,M,S,220405,220405,220405,Ou Smach,89.56229
22,2204,M,S,220403,220403,220403,Koun Kriel,8.532934
13,1303,D,C,130306,130306,130306,Kantuot,7.989464
13,1303,D,C,130301,130301,130301,Choam Ksant,34.837963
22,2205,D,C,220503,220505,220503,Ou Svay,0
16,1609,D,C,160910,160910,160910,Veun Sai,10.188088
22,2202,D,C,220203,220203,220203,Kouk Khpos,0
22,2205,D,C,220502,220506,220502,Ph'av,1.161752
22,2205,D,C,220504,220503,220504,Preah Pralay,0.709779
22,2201,D,C,220104,220104,220104,Trapeang Prei,11.504425
19,1903,D,C,190301,190301,190301,Preaek Meas,0
22,2201,D,C,220103,220103,220103,Trapeang Tav,3.651539
16,1609,D,C,160905,160905,160905,Kaoh Pang,0
22,2202,D,C,220204,220204,220204,Kouk Mon,14.080882
22,2201,D,C,220101,220101,220101,Anlong Veaeng,47.097021
13,1303,D,C,130302,130302,130302,Tuek Kraham,16.725044
22,2202,D,C,220201,220201,220201,Ampil,3.559163
16,1609,D,C,160907,160907,160907,Kok Lak,1.362398
22,2205,D,C,220505,220504,220505,Tumnob Dach,19.57796
22,2204,M,S,220401,220401,220401,Bansay Reak,6.968641
22,2201,D,C,220105,220105,220105,Thlat,10.675676
22,2205,D,C,220501,220502,220501,Bak Anloung,0
22,2201,D,C,220106,220106,220106,Lumtong,8.23456
1,107,D,C,10701,10701,10701,Banteay Chhmar,11.943262
13,1303,D,C,130304,130304,130304,Rumdaoh Srae,0
13,1303,D,C,130305,130305,130305,Yeang,0.332502
22,2204,M,S,220404,220404,220404,Samraong,49.760128
22,2205,D,C,220506,220501,220506,Trapeang Prasat,20.555556
22,2204,M,S,220402,220402,220402,Bos Sbov,0
13,1303,D,C,130303,130303,130303,Pring Thum,1.103753
22,2202,D,C,220202,220202,220202,Beng,1.461378
13,1302,D,C,130207,130207,130207,Kampong Sralau Muoy,15.441176
19,1903,D,C,190302,190302,190302,Sekong,23.904762
16,1601,D,C,160103,160103,160103,Nhang,8.214286
22,2203,D,C,220302,220302,220302,Chong Kal,18.416317
