Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
160801,Ta Veaeng Leu,918,397,746,713,4707,34,161,66,192,155,451,1.8791,6.5167,2.9091,2.9097
190303,Santepheap,813,205,427,449,1884,85,159,13,100,200,525,2.0829,3.8258,7.6923,2.625
190305,Tma Kaev,609,168,231,373,3931,62,308,162,622,238,559,1.375,9.7448,3.8395,2.3487
160802,Ta Veaeng Kraom,669,444,589,649,2953,95,183,242,395,288,492,1.3266,4.2151,1.6322,1.7083
220405,Ou Smach,2353,54,309,748,3819,68,700,23,114,0,0,5.7222,5.538,4.9565,0
220403,Koun Kriel,4336,575,1306,2615,15960,231,1366,751,2726,36,133,2.2713,6.0878,3.6298,3.6944
130306,Kantuot,1203,291,378,567,2078,31,136,245,624,0,0,1.299,3.7023,2.5469,0
130301,Choam Ksant,1968,561,1053,1419,5961,154,594,451,1114,27,115,1.877,4.1672,2.4701,4.2593
220503,Ou Svay,1423,285,451,1056,10251,101,1063,250,721,8,20,1.5825,9.7787,2.884,2.5
160910,Veun Sai,649,330,696,637,2278,261,1030,310,1254,468,1314,2.1091,3.6837,4.0452,2.8077
220203,Kouk Khpos,1168,337,539,679,2632,334,1400,134,403,8,30,1.5994,3.9803,3.0075,3.75
220502,Ph'av,1209,179,306,1017,8521,137,1242,350,996,3,14,1.7095,8.4601,2.8457,4.6667
220504,Preah Pralay,1179,208,504,726,4038,109,911,134,586,0,0,2.4231,5.9269,4.3731,0
220104,Trapeang Prei,1832,135,327,1156,4947,302,1681,545,1458,2,5,2.4222,4.546,2.6752,2.5
190301,Preaek Meas,650,242,396,615,3604,280,739,449,1399,487,1055,1.6364,4.8525,3.1158,2.1663
220103,Trapeang Tav,1853,208,525,1366,5999,89,2119,185,511,2,13,2.524,5.5794,2.7622,6.5
160905,Kaoh Pang,217,128,487,165,1094,2,10,30,54,85,479,3.8047,6.6108,1.8,5.6353
220204,Kouk Mon,2871,519,954,1887,5688,482,1862,349,1082,36,111,1.8382,3.187,3.1003,3.0833
220101,Anlong Veaeng,2666,137,339,830,3345,76,2623,254,814,1,6,2.4745,6.5872,3.2047,6
130302,Tuek Kraham,1351,274,598,703,2595,23,153,369,1564,17,107,2.1825,3.7851,4.2385,6.2941
220201,Ampil,3404,1421,2510,2821,16131,1149,5928,290,1160,62,238,1.7664,5.5564,4,3.8387
160907,Kok Lak,441,238,413,257,665,43,120,4,19,304,386,1.7353,2.6167,4.75,1.2697
220505,Tumnob Dach,921,103,281,702,2962,106,1011,407,1055,3,14,2.7282,4.9171,2.5921,4.6667
220401,Bansay Reak,1992,196,311,1161,4335,313,1044,253,637,4,15,1.5867,3.6493,2.5178,3.75
220105,Thlat,814,39,95,536,3444,112,671,160,889,0,0,2.4359,6.3503,5.5563,0
220501,Bak Anloung,527,89,198,224,2657,34,771,89,242,1,3,2.2247,13.2868,2.7191,3
220106,Lumtong,1661,352,625,1345,12374,189,1353,402,1125,4,21,1.7756,8.9485,2.7985,5.25
10701,Banteay Chhmar,3611,819,1172,2655,10411,241,859,206,914,41,259,1.431,3.8916,4.4369,6.3171
130304,Rumdaoh Srae,857,616,780,780,2470,292,1157,456,2284,56,187,1.2662,3.3834,5.0088,3.3393
130305,Yeang,1271,636,841,997,3693,164,467,533,2534,47,200,1.3223,3.5831,4.7542,4.2553
220404,Samraong,3796,641,1057,2695,8400,278,1695,660,4149,13,55,1.649,3.3956,6.2864,4.2308
220506,Trapeang Prasat,4258,630,1183,3200,16953,484,4516,760,2106,24,94,1.8778,5.8276,2.7711,3.9167
220402,Bos Sbov,1085,657,929,1076,3340,432,1009,496,841,12,104,1.414,2.884,1.6956,8.6667
130303,Pring Thum,529,340,470,440,4967,85,261,380,1750,24,86,1.3824,9.9581,4.6053,3.5833
220202,Beng,3028,1152,1961,2507,11749,642,4414,316,1572,50,247,1.7023,5.1327,4.9747,4.94
130207,Kampong Sralau Muoy,482,152,214,208,880,76,344,93,398,127,474,1.4079,4.3099,4.2796,3.7323
190302,Sekong,1039,301,581,821,5614,207,477,450,1832,537,1462,1.9302,5.9251,4.0711,2.7225
160103,Nhang,1370,668,1224,789,2305,50,183,332,717,206,469,1.8323,2.9654,2.1596,2.2767
220302,Chong Kal,1724,1093,1705,1257,3355,180,896,768,2144,9,59,1.5599,2.9582,2.7917,6.5556
220304,Pongro,1050,336,487,517,2172,90,876,236,697,16,50,1.4494,5.0214,2.9534,3.125
130406,Srayang,2460,266,499,728,4524,37,193,492,1331,8,51,1.8759,6.166,2.7053,6.375
220303,Krasang,1366,417,817,1069,3147,146,809,405,1427,37,183,1.9592,3.256,3.5235,4.9459
190304,Srae Sambour,846,346,411,555,2970,62,262,139,493,414,861,1.1879,5.2382,3.5468,2.0797
160906,Kaoh Peak,710,440,774,364,976,16,73,285,970,253,906,1.7591,2.7605,3.4035,3.581
130203,Sangkae Muoy,309,120,190,267,451,40,203,78,278,34,102,1.5833,2.1303,3.5641,3
130205,Mlu Prey Muoy,405,1,1,26,125,0,0,7,8,0,0,1,4.8077,1.1429,0
10702,Kouk Romiet,4558,686,1302,3050,12836,386,1843,208,696,167,369,1.898,4.2721,3.3462,2.2096
10706,Kumru,1808,615,943,1647,4570,160,1293,58,203,23,135,1.5333,3.2446,3.5,5.8696
130208,Kampong Sralau Pir,430,76,112,293,1119,71,442,114,576,133,472,1.4737,4.2885,5.0526,3.5489
130202,Chhaeb Pir,552,0,0,542,2532,45,262,345,930,85,283,0,4.7598,2.6957,3.3294
160104,Ta Lav,542,342,581,284,1333,31,119,258,416,190,343,1.6988,4.6095,1.6124,1.8053
10704,Thma Puok,1969,963,1308,1747,34660,285,2283,125,673,82,292,1.3583,18.1806,5.384,3.561
10301,Nam Tau,2636,946,1335,1809,6238,336,1838,532,1198,105,350,1.4112,3.765,2.2519,3.3333
160908,Pa Kalan,284,110,340,55,600,61,730,139,530,139,175,3.0909,11.4655,3.8129,1.259
160904,Ka Choun,502,267,457,226,840,20,76,67,209,256,482,1.7116,3.7236,3.1194,1.8828
130402,Kuleaen Cheung,764,179,358,447,1348,68,204,301,2328,176,1203,2,3.0136,7.7342,6.8352
160901,Pong,503,175,247,262,868,85,217,91,558,178,548,1.4114,3.1268,6.1319,3.0787
160602,Pouy,705,428,740,323,1176,16,43,188,337,118,224,1.729,3.5959,1.7926,1.8983
220301,Cheung Tien,1033,628,778,911,3431,123,645,537,1645,58,357,1.2389,3.942,3.0633,6.1552
171206,Slaeng Spean,2063,734,979,1134,3247,334,1371,579,1749,130,439,1.3338,3.1458,3.0207,3.3769
10302,Poy Char,2519,594,1484,1930,9955,197,12853,822,1807,73,138,2.4983,10.7231,2.1983,1.8904
171405,Varin,1767,556,829,501,2307,205,2100,759,1536,25,58,1.491,6.2422,2.0237,2.32
171402,Lvea Krang,653,260,568,302,2200,51,508,157,837,23,55,2.1846,7.6714,5.3312,2.3913
171403,Srae Nouy,3577,381,857,838,3490,412,1689,712,1825,129,183,2.2493,4.1432,2.5632,1.4186
160909,Phnum Kok,364,294,805,332,1457,88,224,223,734,276,596,2.7381,4.0024,3.2915,2.1594
171302,Kantuot,1576,130,280,0,0,0,0,290,625,0,0,2.1538,0,2.1552,0
10705,Kouk Kakthen,1727,482,773,1076,5537,207,1078,270,862,60,212,1.6037,5.1559,3.1926,3.5333
10303,Ponley,2829,1608,3575,2586,23230,122,19460,532,1625,315,1039,2.2233,15.7644,3.0545,3.2984
130403,Thmei,699,441,685,649,2160,39,855,470,1572,32,94,1.5533,4.3823,3.3447,2.9375
10703,Phum Thmei,1621,527,835,841,4828,98,666,208,583,58,202,1.5844,5.8509,2.8029,3.4828
10804,Svay Chek,2336,253,512,1737,7331,366,1895,306,1111,14,89,2.0237,4.3871,3.6307,6.3571
10807,Treas,2804,1472,1992,2666,7883,970,2990,328,729,64,213,1.3533,2.9904,2.2226,3.3281
160607,L'ak,676,373,831,317,1255,9,13,214,587,23,59,2.2279,3.8896,2.743,2.5652
190508,Preah Rumkel,1120,656,1598,876,13998,307,1148,195,889,486,1777,2.436,12.803,4.559,3.6564
130704,Pou,614,226,362,388,1448,42,191,300,1172,16,53,1.6018,3.8116,3.9067,3.3125
130703,Chhean Mukh,489,115,259,400,1043,146,592,185,482,90,166,2.2522,2.9945,2.6054,1.8444
130705,Prame,566,409,1280,524,3147,100,314,400,1312,6,21,3.1296,5.5465,3.28,3.5
190507,Ou Svay,654,224,326,489,1566,41,138,26,168,322,669,1.4554,3.2151,6.4615,2.0776
190404,Sameakki,1050,256,604,506,3803,135,351,149,981,326,1761,2.3594,6.4805,6.5839,5.4018
160101,Malik,644,135,398,292,899,19,85,44,143,96,161,2.9481,3.164,3.25,1.6771
160604,Kalai,359,188,235,253,614,6,30,35,52,17,27,1.25,2.4865,1.4857,1.5882
171201,Chrouy Neang Nguon,1321,454,587,236,631,32,270,728,1234,7,44,1.293,3.3619,1.6951,6.2857
160605,Ou Chum,1021,630,1490,688,2294,43,229,328,886,32,102,2.3651,3.4514,2.7012,3.1875
171202,Klang Hay,678,373,506,387,2540,60,345,382,727,14,80,1.3566,6.4541,1.9031,5.7143
171401,Prasat,968,200,487,240,735,55,240,505,929,27,52,2.435,3.3051,1.8396,1.9259
160606,Sameakki,704,277,389,521,1692,10,40,47,77,38,82,1.4043,3.2618,1.6383,2.1579
190107,Ta Lat,800,229,1024,494,2701,59,260,290,1317,320,1948,4.4716,5.3544,4.5414,6.0875
160903,Hat Pak,319,191,348,183,2570,24,75,144,572,178,567,1.822,12.7778,3.9722,3.1854
171205,Prei,793,148,480,140,2200,35,260,284,689,121,246,3.2432,14.0571,2.4261,2.0331
190505,Anlong Chrey,556,300,586,435,5965,56,170,89,322,24,70,1.9533,12.4949,3.618,2.9167
10801,Phkoam,2298,821,1162,1699,5453,269,1248,733,1478,266,578,1.4153,3.405,2.0164,2.1729
130201,Chhaeb Muoy,793,540,1059,631,1466,304,873,173,475,220,612,1.9611,2.5016,2.7457,2.7818
190509,Sam Ang,412,20,51,0,0,0,0,6,23,5,15,2.55,0,3.8333,3
170106,Srae Khvav,1714,621,1380,1384,7539,255,1175,1445,3504,21,58,2.2222,5.3167,2.4249,2.7619
160706,Saom Thum,541,319,1092,293,1111,23,63,67,307,115,208,3.4232,3.7152,4.5821,1.8087
160301,Kak,639,301,658,367,1203,3,21,94,266,23,65,2.186,3.3081,2.8298,2.8261
160302,Keh Chong,883,277,715,357,1166,19,60,131,200,30,56,2.5812,3.2606,1.5267,1.8667
10803,Sla Kram,2525,173,370,1657,4921,194,1004,424,1097,24,136,2.1387,3.201,2.5873,5.6667
10808,Roluos,967,143,196,899,4210,35,537,90,381,9,39,1.3706,5.0824,4.2333,4.3333
190105,Sdau,474,117,238,255,1866,235,1288,34,448,290,664,2.0342,6.4367,13.1765,2.2897
190104,Samkhuoy,566,354,416,472,8155,436,3675,317,1503,396,823,1.1751,13.0286,4.7413,2.0783
190106,Srae Kor,427,121,209,258,1405,76,583,246,396,387,999,1.7273,5.9521,1.6098,2.5814
130802,Pal Hal,2276,232,1020,1199,11733,213,1588,633,2703,42,152,4.3966,9.4341,4.2701,3.619
10306,Phnum Dei,1958,773,1121,1098,3864,83,15220,672,1659,16,84,1.4502,16.1592,2.4688,5.25
130801,Kampong Pranak,2101,235,672,850,3053,108,1030,110,613,1,3,2.8596,4.262,5.5727,3
130401,Kuleaen Tboung,885,364,688,855,1950,155,787,589,2373,188,926,1.8901,2.7099,4.0289,4.9255
10509,Ou Bei Choan,3114,43,144,1023,4849,139,1421,92,607,0,0,3.3488,5.3959,6.5978,0
171404,Svay Sa,1050,369,635,406,6207,216,709,451,872,4,9,1.7209,11.119,1.9335,2.25
10806,Ta Phou,1912,359,818,1414,5593,788,2572,621,1512,15,100,2.2786,3.708,2.4348,6.6667
160705,Sesan,319,106,192,25,50,0,0,56,88,23,36,1.8113,2,1.5714,1.5652
160404,Teun,706,196,487,376,1732,26,92,242,574,146,207,2.4847,4.5373,2.3719,1.4178
171203,Tram Sasar,1148,228,534,233,1119,191,471,695,1599,14,26,2.3421,3.75,2.3007,1.8571
160601,Cha Ung,651,356,478,459,1460,39,102,223,568,76,150,1.3427,3.1365,2.5471,1.9737
171204,Moung,933,214,332,337,718,87,520,415,585,0,0,1.5514,2.9198,1.4096,0
10802,Sarongk,1087,57,155,274,1030,25,255,156,463,6,34,2.7193,4.2977,2.9679,5.6667
160403,Ta Ang,826,395,791,360,2212,48,134,350,703,82,188,2.0025,5.75,2.0086,2.2927
10805,Ta Baen,972,24,95,532,2825,42,141,124,363,15,52,3.9583,5.1672,2.9274,3.4667
130404,Phnum Penh,822,530,980,751,2850,280,630,559,1485,320,858,1.8491,3.3754,2.6565,2.6813
10305,Srah Chik,1555,382,517,510,1150,83,186,122,309,3,9,1.3534,2.253,2.5328,3
130206,Mlu Prey Pir,383,153,262,368,2804,128,565,262,776,4,21,1.7124,6.7923,2.9618,5.25
10304,Spean Sraeng,888,227,336,372,1363,83,575,333,503,8,23,1.4802,4.2593,1.5105,2.875
190504,Kaoh Snaeng,479,306,381,381,1820,20,75,18,114,321,1000,1.2451,4.7257,6.3333,3.1153
160603,Aekakpheap,608,231,346,425,1508,27,70,57,117,0,0,1.4978,3.4912,2.0526,0
160406,Trapeang Kraham,655,88,140,416,1689,127,313,139,2049,0,0,1.5909,3.6869,14.741,0
160703,Pak Nhai,688,212,370,232,301,105,252,83,188,119,291,1.7453,1.6409,2.2651,2.4454
130405,Phnum Tbaeng Pir,894,566,1049,556,4400,100,542,469,1190,29,168,1.8534,7.5335,2.5373,5.7931
160306,Ting Chak,620,271,467,456,1135,14,72,78,98,25,53,1.7232,2.5681,1.2564,2.12
171305,Ta Siem,1358,127,322,752,3444,44,300,336,814,62,184,2.5354,4.7035,2.4226,2.9677
160702,Lum Choar,580,295,492,337,1100,74,358,46,157,117,280,1.6678,3.5474,3.413,2.3932
170102,Doun Peng,1354,288,478,278,1130,135,1055,787,1905,16,40,1.6597,5.2906,2.4206,2.5
170302,Khun Ream,1459,132,235,639,3839,78,2135,344,858,75,220,1.7803,8.3319,2.4942,2.9333
160203,Yeak Laom,554,64,169,259,986,5,20,85,154,13,39,2.6406,3.8106,1.8118,3
10507,Soengh,1474,59,154,1209,3453,250,927,341,1282,11,68,2.6102,3.0021,3.7595,6.1818
130204,Sangkae Pir,293,191,223,166,744,10,40,230,996,5,12,1.1675,4.4545,4.3304,2.4
160202,Labansiek,2496,28,99,735,3620,20,75,8,22,6,73,3.5357,4.894,2.75,12.1667
170103,Kouk Doung,2875,1311,2152,1868,5448,641,1560,1636,3513,72,245,1.6415,2.7931,2.1473,3.4028
170607,Saen Sokh,1671,301,655,834,3270,254,1134,1067,2267,0,0,2.1761,4.0478,2.1246,0
10407,Tean Kam,883,175,662,547,3287,35,12240,125,395,10,33,3.7829,26.6787,3.16,3.3
160303,La Minh,868,72,124,119,426,15,45,21,35,2,3,1.7222,3.5149,1.6667,1.5
130102,Tasu,479,230,619,408,1090,20,253,299,940,11,39,2.6913,3.1379,3.1438,3.5455
170104,Koul,789,194,445,272,1117,15,64,168,924,32,47,2.2938,4.115,5.5,1.4688
160201,Kachanh,1626,155,467,860,1892,27,146,61,256,0,0,3.0129,2.2976,4.1967,0
11002,Paoy Paet,10759,17,115,394,7585,76,506,21,390,0,0,6.7647,17.2149,18.5714,0
10409,Bos Sbov,2689,390,769,1605,6827,310,2064,708,1411,13,46,1.9718,4.6428,1.9929,3.5385
190103,Phluk,330,111,226,185,273,162,486,151,1003,8,25,2.036,2.1873,6.6424,3.125
170604,Krouch Kor,961,498,1001,391,1563,365,1595,752,1394,0,0,2.01,4.1772,1.8537,0
11001,Nimitt,4269,659,1333,2744,14825,603,4840,268,871,2,7,2.0228,5.8754,3.25,3.5
10402,Chob Veari,2825,401,1318,1542,157559,293,11250,649,1783,4,16,3.2868,91.994,2.7473,4
170107,Ta Saom,1913,365,651,1479,5346,545,2889,748,1408,6,17,1.7836,4.0687,1.8824,2.8333
10501,Changha,1517,92,826,1306,6528,106,1217,212,993,8,40,8.9783,5.4851,4.684,5
10604,Mkak,1841,256,495,1309,4752,120,565,652,1147,5,26,1.9336,3.7208,1.7592,5.2
130603,Phnum Tbaeng Muoy,425,345,593,323,2350,4,25,391,1150,5,45,1.7188,7.263,2.9412,9
170101,Char Chhuk,1908,221,469,489,2546,332,1158,821,1771,5,17,2.1222,4.5116,2.1571,3.4
130706,Preah Khleang,618,314,413,577,1654,45,180,333,2202,7,38,1.3153,2.9486,6.6126,5.4286
160707,Ya Tung,557,270,577,214,786,32,111,109,752,69,186,2.137,3.6463,6.8991,2.6957
160304,Lung Khung,672,355,558,435,784,7,25,7,9,1,2,1.5718,1.8303,1.2857,2
160405,Trapeang Chres,1266,385,1639,1080,7015,43,278,536,1522,21,104,4.2571,6.4942,2.8396,4.9524
10506,Souphi,1194,23,209,755,2379,29,445,126,465,1,3,9.087,3.602,3.6905,3
10502,Koub,1974,245,514,1272,5166,155,1012,257,792,0,0,2.098,4.3294,3.0817,0
160504,Lbang Pir,280,71,116,30,70,0,0,46,240,24,80,1.6338,2.3333,5.2174,3.3333
170201,Chob Ta Trav,808,173,395,218,1020,29,106,250,554,36,114,2.2832,4.5587,2.216,3.1667
170601,Chanleas Dai,1796,55,157,13,85,114,1853,1094,3047,2,6,2.8545,15.2598,2.7852,3
170203,Peak Snaeng,1056,21,297,1,125,0,0,369,775,79,208,14.1429,125,2.1003,2.6329
10406,Rohal,1973,524,1243,1004,9735,159,7620,294,1366,2,8,2.3721,14.9226,4.6463,4
160305,Saeung,620,176,254,211,346,8,35,106,269,28,115,1.4432,1.7397,2.5377,4.1071
130602,Ro'ang,1086,656,1514,839,5842,137,975,956,3195,26,124,2.3079,6.9846,3.3421,4.7692
130103,Khyang,867,535,719,636,2364,306,791,691,2351,68,181,1.3439,3.3493,3.4023,2.6618
160704,Pa Te,434,197,782,138,1098,60,340,67,233,130,428,3.9695,7.2626,3.4776,3.2923
170610,Ta An,798,96,298,464,2406,50,441,379,1003,3,10,3.1042,5.5389,2.6464,3.3333
170608,Snuol,1419,811,1368,1057,3695,431,5023,1083,2242,3,13,1.6868,5.8589,2.0702,4.3333
190510,Srae Ruessei,386,14,42,240,650,49,213,25,52,34,92,3,2.9862,2.08,2.7059
160701,Bar Kham,477,319,662,250,883,44,135,101,204,150,275,2.0752,3.4626,2.0198,1.8333
130104,Chrach,750,435,663,569,2823,185,458,499,1438,20,83,1.5241,4.3515,2.8818,4.15
10408,Tuek Chour,2790,1007,2176,1967,7538,255,5692,971,2913,35,103,2.1609,5.9541,3,2.9429
170105,Nokor Pheas,1698,448,705,590,2950,313,1206,786,1551,19,63,1.5737,4.6024,1.9733,3.3158
10401,Chnuor Mean Chey,1443,586,1333,883,5930,190,13784,376,1300,15,52,2.2747,18.3728,3.4574,3.4667
10602,Kampong Svay,5167,196,560,134,1210,23,2043,170,291,55,55,2.8571,20.7197,1.7118,1
130101,S'ang,684,571,1804,640,1966,101,729,547,1217,6,38,3.1594,3.637,2.2249,6.3333
171303,Khnang Phnum,777,89,225,282,1259,6,27,77,200,20,34,2.5281,4.4653,2.5974,1.7
160503,Lbang Muoy,384,97,201,219,598,68,146,158,320,45,91,2.0722,2.5923,2.0253,2.0222
130106,Putrea,1311,1255,3000,1283,6158,81,226,1163,4429,585,1377,2.3904,4.6804,3.8083,2.3538
10403,Phnum Lieb,3325,1691,3323,2761,14493,434,33697,620,2989,55,222,1.9651,15.0829,4.821,4.0364
130105,Thmea,723,662,1259,698,2386,57,305,525,1657,333,951,1.9018,3.5642,3.1562,2.8559
130601,Chamraeun,1139,568,1614,709,3737,221,940,923,4133,165,326,2.8415,5.029,4.4778,1.9758
10606,Phniet,1068,174,627,755,2458,55,9509,144,418,2,7,3.6034,14.7741,2.9028,3.5
130604,Sdau,588,333,680,296,799,45,268,349,1731,52,209,2.042,3.129,4.9599,4.0192
190511,Thala Barivat,980,127,238,363,2557,171,543,292,719,226,681,1.874,5.8052,2.4623,3.0133
