Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Ratanak Kiri,Ta Veaeng,160801,Ta Veaeng Leu,918,1978,2027,4005,2076,196,257,311,330,238,218,140,138,112,136,0,0,0,0.00000000000,0.00000000000
Stung Treng,Siem Pang,190303,Santepheap,813,1723,2033,3756,1752,180,210,210,238,173,205,152,195,89,100,0,3,3,0.17000000000,0.08000000000
Stung Treng,Siem Pang,190305,Tma Kaev,609,1240,1579,2819,1775,33,111,230,241,208,327,133,275,120,97,0,5,5,0.28000000000,0.18000000000
Ratanak Kiri,Ta Veaeng,160802,Ta Veaeng Kraom,669,1350,1479,2829,1446,179,166,199,213,127,135,120,159,70,78,0,0,0,0.00000000000,0.00000000000
Otdar Meanchey,Samraong,220405,Ou Smach,2353,4413,4746,9159,5626,601,735,924,977,604,594,495,463,99,134,216,128,344,6.11000000000,3.76000000000
Otdar Meanchey,Samraong,220403,Koun Kriel,4336,9806,9229,19035,10603,1493,1482,1548,1382,1016,1012,1042,945,375,308,222,173,395,3.73000000000,2.08000000000
Preah Vihear,Choam Ksant,130306,Kantuot,1203,2924,2650,5574,2865,317,314,407,363,395,299,286,276,120,88,28,32,60,2.09000000000,1.08000000000
Preah Vihear,Choam Ksant,130301,Choam Ksant,1968,3845,4356,8201,4082,649,472,459,520,355,544,273,498,152,160,0,1,1,0.02000000000,0.01000000000
Otdar Meanchey,Trapeang Prasat,220503,Ou Svay,1423,3139,3055,6194,3406,469,477,468,468,291,350,363,362,76,82,6,38,44,1.29000000000,0.71000000000
Ratanak Kiri,Veun Sai,160910,Veun Sai,649,2193,1837,4030,2217,246,257,283,269,176,148,160,182,394,102,0,0,0,0.00000000000,0.00000000000
Otdar Meanchey,Banteay Ampil,220203,Kouk Khpos,1168,2431,2589,5020,2909,416,421,412,460,232,249,256,284,84,95,102,74,176,6.05000000000,3.51000000000
Otdar Meanchey,Trapeang Prasat,220502,Ph'av,1209,2936,2745,5681,3089,510,454,393,400,304,251,309,288,88,92,6,18,24,0.78000000000,0.42000000000
Otdar Meanchey,Trapeang Prasat,220504,Preah Pralay,1179,2498,2560,5058,2557,331,319,367,411,264,315,210,194,72,74,18,18,36,1.41000000000,0.71000000000
Otdar Meanchey,Anlong Veaeng,220104,Trapeang Prei,1832,3874,3927,7801,4469,573,608,581,624,376,382,529,545,133,118,20,45,65,1.45000000000,0.83000000000
Stung Treng,Siem Pang,190301,Preaek Meas,650,1675,1698,3373,1630,180,197,243,226,175,174,156,136,93,50,0,2,2,0.12000000000,0.06000000000
Otdar Meanchey,Anlong Veaeng,220103,Trapeang Tav,1853,4052,4023,8075,4387,574,616,616,612,449,433,452,448,84,103,45,69,114,2.60000000000,1.41000000000
Ratanak Kiri,Veun Sai,160905,Kaoh Pang,217,339,414,753,301,35,43,40,54,16,28,24,30,17,14,0,0,0,0.00000000000,0.00000000000
Otdar Meanchey,Banteay Ampil,220204,Kouk Mon,2871,6341,6588,12929,8087,1244,1116,1089,1117,653,932,670,758,178,330,214,166,380,4.70000000000,2.94000000000
Otdar Meanchey,Anlong Veaeng,220101,Anlong Veaeng,2666,6430,6157,12587,6929,845,902,919,875,721,696,757,608,349,257,39,32,71,1.02000000000,0.56000000000
Preah Vihear,Choam Ksant,130302,Tuek Kraham,1351,2697,2775,5472,3130,347,376,407,475,393,372,302,289,69,100,1,3,4,0.13000000000,0.07000000000
Otdar Meanchey,Banteay Ampil,220201,Ampil,3404,7229,6989,14218,8814,1138,1211,1253,1166,757,790,1167,807,243,282,170,126,296,3.36000000000,2.08000000000
Ratanak Kiri,Veun Sai,160907,Kok Lak,441,1327,1368,2695,1285,148,195,148,149,155,112,138,122,59,59,0,0,0,0.00000000000,0.00000000000
