NCDD_CodeP,Province,T_LIT15,M_LIT15,F_LIT15
1,Banteay Meanchey,76.71,85.07,69.03
2,Battambang,78.88,85.9,72.31
3,Kampong Cham,74.47,82.42,67.32
4,Kampong Chhnang,75.54,83.53,68.6
5,Kampong Speu,75.52,85.11,66.96
6,Kampong Thom,67.78,75.75,60.65
7,Kampot,76.9,85.5,69.29
8,Kandal,83.11,89.15,77.75
9,Koh Kong,75.16,83.53,66.75
10,Kratie,73.74,80.13,67.54
11,Mondul Kiri,60.91,72.41,48.66
12,Phnom Penh,93.17,96.21,90.57
13,Preah Vihear,63.52,72.34,55
14,Prey Veng,79.25,88.55,71.36
15,Pursat,77.05,84.9,70.04
16,Ratanak Kiri,45.9,55.2,36.55
17,Siem Reap,68.68,76.22,61.79
18,Preah Sihanouk,80.44,87.66,73.41
19,Stung Treng,61.45,69.95,53.12
20,Svay Rieng,78.69,89.95,68.96
21,Takeo,77.43,87.44,68.56
22,Otdar Meanchey,63.76,73.72,53.92
23,Kep,72.82,81.85,64.47
24,Pailin,75.5,83.38,67.14
