NCDD_CodeD,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm,NB_EMIGRAN_PP,Emigr_Skm_PP,EmigPerPOP_PP,NB_EMIGRAN_PAI,Em_perSkm_PAI,Em_perPOP_PAI
102,Mongkol Borei,139315,172.6,22276,-10000,-100.66,8253,807.2262055,1347,1.668677244,9.668736317,637,0.789122052,4.572371963
103,Phnum Srok,46935,61.6,5562,-1864,-39.71,3698,762.3493521,210,0.27546426,4.474272931,75,0.098380093,1.597954618
104,Preah Netr Preah,87089,79.7,8212,-2828,-32.47,5384,1092.681269,257,0.23520125,2.951004145,124,0.113482315,1.423830794
105,Ou Chrov + Kronh Paoy Pet,155185,191.1,20554,47581,306.61,68135,811.6165391,705,0.868636808,4.542964848,304,0.556974314,1.958952218
106,Krong Serei Saophoan,90279,334.4,19251,-6144,-68.06,13107,269.5973531,1906,7.069802348,21.11232956,509,1.888000732,5.638077515
107,Thma Puok,61189,56.1,8166,1845,30.15,10011,1089.635096,242,0.2220927,3.954959225,80,0.073419074,1.307424537
108,Svay Chek,55596,68.4,4932,1685,30.31,6617,813.4335813,104,0.127853094,1.870638175,27,0.03319263,0.485646449
109,Malai,42284,84.2,4117,16732,395.71,20849,501.6729201,59,0.117606507,1.395326838,165,0.328899555,3.902185224
201,Banan,92138,105.4,17722,-5903,-64.07,11819,874.4480853,679,0.776489778,7.369380712,2081,2.379786788,22.58568669
202,Thma Koul,113443,132.5,19378,-10000,-91.93,8949,856.1641611,855,0.998640259,7.536824661,1498,1.749664455,13.20486941
203,Krong Battambang,144323,1244.2,46581,-10000,-97.55,32502,115.511602,6150,53.24140513,42.61275057,2317,20.05859117,16.05426716
204,Bavel,100000,104,17701,3254,32.54,20955,962.2292557,418,0.43440791,4.18,2053,2.133587176,20.53
205,Aek Phnum,68276,63.9,7967,-4503,-65.95,3464,1067.819937,546,0.511322163,7.996953542,459,0.429847753,6.722713691
206,Moung Ruessei + Rokha Kiri,152671,83.7,39199,-1814,-11.88,37385,1824.972389,1452,0.795628476,9.510647078,2501,1.770950726,16.38163109
207,Rotonak Mondol,41170,52,8371,11979,290.96,20350,791.9912697,149,0.188133387,3.619140151,694,0.876272286,16.85693466
208,Sangkae,111663,95.5,24674,-20000,-154.55,7417,1169.239253,2104,1.799460628,18.84240975,1558,1.332490332,13.95269695
