Dis_Code,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm
0102,Mongkol Borei,139315.00000000000,172.60000000000,22276,-10000.00000000000,-100.66000000000,8253,807
0103,Phnum Srok,46935.00000000000,61.60000000000,5562,-1864.00000000000,-39.71000000000,3698,762
0104,Preah Netr Preah,87089.00000000000,79.70000000000,8212,-2828.00000000000,-32.47000000000,5384,1093
0105,Ou Chrov + Kronh Paoy Pet,155185.00000000000,191.10000000000,20554,47581.00000000000,306.61000000000,68135,812
0106,Krong Serei Saophoan,90279.00000000000,334.40000000000,19251,-6144.00000000000,-68.06000000000,13107,270
0107,Thma Puok,61189.00000000000,56.10000000000,8166,1845.00000000000,30.15000000000,10011,1090
0108,Svay Chek,55596.00000000000,68.40000000000,4932,1685.00000000000,30.31000000000,6617,813
0109,Malai,42284.00000000000,84.20000000000,4117,16732.00000000000,395.71000000000,20849,502
0201,Banan,92138.00000000000,105.40000000000,17722,-5903.00000000000,-64.07000000000,11819,874
0202,Thma Koul,113443.00000000000,132.50000000000,19378,-10000.00000000000,-91.93000000000,8949,856
0203,Krong Battambang,144323.00000000000,1244.20000000000,46581,-10000.00000000000,-97.55000000000,32502,116
0204,Bavel,100000.00000000000,104.00000000000,17701,3254.00000000000,32.54000000000,20955,962
0205,Aek Phnum,68276.00000000000,63.90000000000,7967,-4503.00000000000,-65.95000000000,3464,1068
0206,Moung Ruessei + Rokha Kiri,152671.00000000000,83.70000000000,39199,-1814.00000000000,-11.88000000000,37385,1825
0207,Rotonak Mondol,41170.00000000000,52.00000000000,8371,11979.00000000000,290.96000000000,20350,792
0208,Sangkae,111663.00000000000,95.50000000000,24674,-20000.00000000000,-154.55000000000,7417,1169
0209,Samlout,39701.00000000000,27.80000000000,5882,13914.00000000000,350.47000000000,19796,1429
0210,Sampov Lun,35248.00000000000,78.00000000000,4992,15414.00000000000,437.30000000000,20406,452
0211,Phnom Proek,49722.00000000000,76.70000000000,4896,25844.00000000000,519.77000000000,30740,648
0212,Kamrieng,51053.00000000000,96.50000000000,4626,26920.00000000000,527.30000000000,31546,529
0213,Koas Krala,25766.00000000000,22.40000000000,3089,8368.00000000000,324.77000000000,11457,1152
0301,Batheay,102924.00000000000,154.50000000000,9618,-5532.00000000000,-53.75000000000,4086,666
0302,Chamkar Leu,110967.00000000000,184.90000000000,26554,-20000.00000000000,-180.17000000000,6561,600
0303,Cheung Prey,83771.00000000000,227.00000000000,11631,-8305.00000000000,-99.14000000000,3326,369
0304,Dambae,80490.00000000000,110.30000000000,5456,10477.00000000000,130.17000000000,15933,730
0305,Krong Kampong Cham,47300.00000000000,2056.50000000000,22078,-9293.00000000000,-196.47000000000,12785,23
0306,Kampong Siem,100047.00000000000,232.10000000000,20086,-10000.00000000000,-129.91000000000,7089,431
0307,Kang Meas,89727.00000000000,230.10000000000,15942,-10000.00000000000,-132.66000000000,4039,390
0308,Kaoh Soutin,60434.00000000000,324.90000000000,20312,-20000.00000000000,-282.79000000000,3222,186
0309,Krouch Chhmar,92845.00000000000,166.10000000000,19191,-20000.00000000000,-167.63000000000,3627,559
0310,Memot,148463.00000000000,96.60000000000,14341,6496.00000000000,43.76000000000,20837,1537
0311,Ou Reang Ov,80947.00000000000,236.70000000000,16925,-10000.00000000000,-164.45000000000,3613,342
0312,Ponhea Kraek,135318.00000000000,178.10000000000,16545,-8424.00000000000,-62.25000000000,8121,760
0313,Prey Chhor,125352.00000000000,281.70000000000,22431,-20000.00000000000,-137.60000000000,5182,445
0314,Srei Santhor,86563.00000000000,248.70000000000,20259,-20000.00000000000,-190.36000000000,3781,348
0315,Stueng Trang,118907.00000000000,109.00000000000,17925,-3096.00000000000,-26.04000000000,14829,1091
0316,Tboung Khmum + Krong Suon,215937.00000000000,215.90000000000,40541,-30000.00000000000,-117.29000000000,15213,1000
0401,Baribour,56406.00000000000,130.00000000000,5003,-1601.00000000000,-28.38000000000,3402,434
0402,Chol Kiri,32048.00000000000,97.40000000000,1941,256.00000000000,7.99000000000,2197,329
0403,Krong Kampong Chhnang,43130.00000000000,917.70000000000,9311,-1226.00000000000,-28.43000000000,8085,47
0404,Kampong Leaeng,44520.00000000000,47.00000000000,5004,-2417.00000000000,-54.29000000000,2587,948
0405,Kampong Tralach,80835.00000000000,174.20000000000,10828,-6885.00000000000,-85.17000000000,3943,464
0406,Rolea B'ier,92715.00000000000,131.10000000000,9366,-3011.00000000000,-32.48000000000,6355,707
0407,Sameakki Mean Chey,65754.00000000000,97.80000000000,4541,-1157.00000000000,-17.60000000000,3384,672
0408,Tuek Phos,56933.00000000000,33.60000000000,4507,2231.00000000000,39.19000000000,6738,1695
0501,Basedth,119531.00000000000,234.80000000000,14554,-10000.00000000000,-90.09000000000,3785,509
0502,Krong Chbar Mon,46850.00000000000,578.40000000000,7500,-529.00000000000,-11.29000000000,6971,81
0503,Kong Pisei,112921.00000000000,296.40000000000,13270,-7180.00000000000,-63.58000000000,6090,381
0504,Aoral,29883.00000000000,12.60000000000,1695,4653.00000000000,155.71000000000,6348,2380
0505,Odongk,119213.00000000000,228.80000000000,13632,-6760.00000000000,-56.71000000000,6872,521
0506,Phnum Sruoch,95227.00000000000,57.80000000000,8359,3354.00000000000,35.22000000000,11713,1647
0507,Samraong Tong,142545.00000000000,194.20000000000,14106,-3851.00000000000,-27.02000000000,10255,734
0508,Thpong,50774.00000000000,71.40000000000,4706,-1971.00000000000,-38.82000000000,2735,711
0601,Baray,167581.00000000000,127.90000000000,29953,-20000.00000000000,-120.89000000000,9694,1310
0602,Kampong Svay,89206.00000000000,63.90000000000,11357,-5431.00000000000,-60.88000000000,5926,1395
0603,Krong Stueng Saen,54033.00000000000,147.60000000000,11645,-3078.00000000000,-56.97000000000,8567,366
0604,Prasat Ballangk,47193.00000000000,34.30000000000,2684,-615.00000000000,-13.03000000000,2069,1374
0605,Prasat Sambour,39402.00000000000,53.40000000000,4090,-1933.00000000000,-49.06000000000,2157,738
0606,Sandan,49689.00000000000,16.80000000000,5869,323.00000000000,6.50000000000,6192,2964
