NCDD_CodeP,Province,POP2030_UN,MPOP2030,FPOP2030,Annual_GR,Sex_R,M_Age,PPop2030,AGRProject,Norm
1,Banteay Meanchey,1017936,506763,511173,1.19,99.1,31.2,5.54,1.7,17
2,Battambang,1519185,766519,752666,1.11,101.8,30.6,8.26,1.64,16.4
3,Kampong Cham,1648438,819310,829128,-0.69,98.8,31.7,8.96,-0.2,2
4,Kampong Chhnang,628577,311939,316637,0.63,98.5,29.5,3.42,1.15,11.5
5,Kampong Speu,882184,437908,444276,0.41,98.6,30.5,4.8,0.79,7.9
6,Kampong Thom,724456,364465,359991,0.14,101.2,30.7,3.94,0.47,4.7
7,Kampot,716987,355673,361314,1.09,98.4,30.3,3.9,0.76,7.6
8,Kandal,1716290,846006,870284,0.91,97.2,31.8,9.33,1.24,12.4
9,Koh Kong,218811,112070,106740,2.21,105,30.1,1.19,2.71,27.1
10,Kratie,465960,235708,230252,1.17,102.4,28.8,2.53,1.57,15.7
11,Mondul Kiri,126725,65033,61692,2.77,105.4,29.4,0.69,3.21,32.1
12,Phnom Penh,2450717,1160169,1290548,0.71,89.9,35.8,13.33,2.67,26.7
13,Preah Vihear,243681,121744,121936,1.35,99.8,29.8,1.33,1.46,14.6
14,Prey Veng,1089316,537979,551338,1.08,97.6,30.9,5.92,0.48,4.8
15,Pursat,553067,276436,276631,1.44,99.9,29.8,3.01,1.36,13.6
16,Ratanak Kiri,233141,117651,115490,1.58,101.9,30,1.27,1.85,18.5
17,Siem Reap,1414727,708395,706331,1.31,100.3,30,7.69,1.94,19.4
18,Preah Sihanouk,360684,181562,179122,1.39,101.4,31.1,1.96,2.08,20.8
19,Stung Treng,187442,94551,92891,2.36,101.8,29.5,1.02,2.22,22.2
20,Svay Rieng,559726,277824,281903,1.06,98.6,31.3,3.04,0.52,5.2
21,Takeo,997025,496549,500477,1.06,99.2,30.7,5.42,0.6,6
22,Oddar Meanchey,365010,184682,180328,1.7,102.4,30.2,1.98,2.96,29.6
23,Kep,88797,45339,43458,4.46,104.3,29.6,0.48,4.06,30
24,Pailin,181801,93536,88265,2.67,106,30,0.99,4.24,30
