Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Otdar Meanchey,Samraong,220405,Ou Smach,9281,NU,439.9,U11,U11,1,4413,4746,2353,1.321512,9159,6930.7,439.9
Otdar Meanchey,Samraong,220403,Koun Kriel,13234,NU,12.2,0,USDC,1,9806,9229,4336,0.30419,19035,62576,12.2
Otdar Meanchey,Samraong,220401,Bansay Reak,5643,NU,48.2,0,USDC,1,4540,3888,1992,0.35083,8428,24023,48.2
Otdar Meanchey,Samraong,220404,Samraong,18694,U,196.1,UNU,USDC,1,4421,4039,1769,0.235517,8460,35921,196.1
Otdar Meanchey,Samraong,220402,Bos Sbov,4562,NU,46.4,0,USDC,1,2635,2350,1085,0.340366,4985,14646,46.4
Stung Treng,Stueng Traeng,190404,Sameakki,6039,NU,11.8,0,USDC,1,1993,2064,853,0.079166,4057,51247,11.8
Preah Vihear,Preah Vihear,130802,Pal Hal,10500,NU,39.8,0,USDC,1,5439,5158,2276,0.502251,10597,21099,39.8
Preah Vihear,Preah Vihear,130801,Kampong Pranak,10679,U,503,U0411,U0411,1,4600,4753,2101,0.044169,9353,211753,503
Ratanak Kiri,Ban Lung,160203,Yeak Laom,2669,NU,46.5,0,USDC,1,1390,1359,554,0,2749,0,46.5
Ratanak Kiri,Ban Lung,160202,Labansiek,19317,U,1654.7,U0411,U0411,1,5928,5583,2496,4.79625,11511,2400,1654.7
Ratanak Kiri,Ban Lung,160201,Kachanh,6996,NU,52.7,0,USDC,1,3604,3407,1626,2.92125,7011,2400,52.7
Banteay Meanchey,Paoy Paet,11002,Paoy Paet,89549,U,927.8,U0411,U0411,1,24693,24900,10759,22.649446,49593,2189.59,927.8
Banteay Meanchey,Paoy Paet,11001,Nimitt,18440,NU,108.9,0,USDC,1,9804,9716,4269,1.152847,19520,16932,108.9
Banteay Meanchey,Serei Saophoan,10604,Mkak,7112,NU,99,0,USDC,1,4037,3907,1841,0.993211,7944,7998.3,99
Banteay Meanchey,Serei Saophoan,10602,Kampong Svay,26699,U,622.3,U0411,U0411,1,10828,11399,5167,6.146847,22227,3616,622.3
Banteay Meanchey,Serei Saophoan,10606,Phniet,4079,NU,99.1,0,USDC,1,2149,2291,1068,1.472959,4440,3014.34,99.1
Banteay Meanchey,Serei Saophoan,10607,Preah Ponlea,15600,U,1097.6,U0411,U0411,1,6766,7654,3067,10.22695,14420,1410,1097.6
Siem Reap,Kralanh,170602,Kampong Thkov,5603,U,365.2,UNU,U04F,1,2674,2911,1128,4.654167,5585,1200,365.2
Banteay Meanchey,Serei Saophoan,10608,Tuek Thla,13600,NU,267.3,U11,U11,1,6644,6886,3228,4.296602,13530,3149,267.3
