Name,Commission Year,Size,River,lat,lon,Country,Investor,Comments,Sources
Don Sahong,,,,,,Laos,,,
Houay Ho,1999,152.1,Houay Ho,15.059444,106.760833,Laos,,,Wikipedia
Nam Dong,,,Nam Dong,,,Laos,,,CGIAR
Nam Ko,1996,1.5,Nam Ko,,,Laos,,,CGIAR
Nam Leuk,2000,60,Nam Leuk,,,Laos,,,CGIAR
Nam Lik 2,2010,100,Nam Lik,,,Laos,,,CGIAR
Nam Mang 3,2004,40,Nam Mang,,,Laos,,,CGIAR
Nam Ngay,2002,1.2,Nam Ngay,,,Laos,,,CGIAR
Nam Ngum 1,1971,155,Nam Ngum,18.530833,102.5475,Laos,,,Wikipedia
Nam Ngum 2,2010,615,Nam Ngum,,,Laos,,,CGIAR
Nam Ngum 5,2012,120,Nam Ngum,,,Laos,,,CGIAR
Nam Theun 2,2010,1070,Nam Theun,17.99807756,104.9542083,Laos,,,Wikipedia
Theun Hinboun,1998,222,Nam Theun,,,Laos,,,CGIAR
Theun Hinboun Expansion,2012,210,Nam Theun,,,Laos,,,CGIAR
Xayaburi,2019,1285,Mekong,19.254017,101.813667,Laos,,,Wikipedia
Xekong 3 (Lower),2011,32,Xe Kaman,,,Laos,,,CGIAR
Xekong 3 (Upper),2012,91.1,Xekong,,,Laos,,,CGIAR
Xepian-Xenamnoy,1970,5,Xedon,,,Laos,,,CGIAR
Xeset 2,1991,45,Xeset,,,Laos,,,CGIAR
Xeset 3,2009,76,Xeset,,,Laos,,,CGIAR
