Name,Commission Year,Size,River,lat,lon,Country,Investor,Comments,Sources,,
Bokor Plateau,,28,,10.81908119,104.0158065,Cambodia,,,,,
Kamchay,,193,,10.68445721,104.1234192,Cambodia,China,Operation,,,
Kep I,,4,,11.64955865,103.1982964,Cambodia,,,,,
Kep II,,26,,11.74177375,103.3362759,Cambodia,,,,,
Kirirom I,,12,,11.21671677,104.0285093,Cambodia,,Operation,,,
Kirirom II,,1,,11.23934903,104.0460851,Cambodia,,,,,
Kirirom III,,18,,11.39032993,103.8487912,Cambodia,China,Under Construction,,,
Lower Sesan I,,90,,13.54554637,106.0697435,Cambodia,,MoU Signed,,,
Lower Sesan II,,400,,13.59952567,106.2900165,Cambodia,,MoU Signed,,,
Lower Sesan III,,375,,14.02163799,106.8506775,Cambodia,,,,,
Lower Srepok II,,222,,13.46665272,106.4005428,Cambodia,,,,,
Lower Srepok III,,368,,13.3851599,107.0421896,Cambodia,China,MoU Signed,,,
Lower Srepok IV,,48,,13.33719024,107.4651259,Cambodia,China,MoU Signed,,,
Lower Stung Russei chrum,,338,,11.81725888,103.0933225,Cambodia,China,Under Construction,,,
Middle Stung Russei chrum,,125,,11.92681814,103.3244147,Cambodia,,,,,
O Chum II,,1,,13.98030655,106.8997832,Cambodia,,Operation,,,
O Phlai I,,5,,12.40084131,107.3843551,Cambodia,,,,,
O Phlai II,,4,,12.51782939,107.3863453,Cambodia,,,,,
O Phlai III,,5,,12.59073625,107.3693249,Cambodia,,,,,
O Phlai IV,,7,,12.80183518,107.4190442,Cambodia,,,,,
O Sla,,2,,11.20787692,103.9061034,Cambodia,,,,,
O Tourou Trav,,1,,10.84579903,104.1023529,Cambodia,,,,,
Phnom Batau,,4,,11.21404228,103.8272072,Cambodia,,,,,
Prek Chbar,,5,,13.06805876,107.0480995,Cambodia,,,,,
Prek Chhlong I,,7,,12.23456912,106.4916361,Cambodia,,,,,
Prek chhlong II,,25,,12.11342973,106.2590354,Cambodia,Singapor,MoU Signed,,,
Prek Kampi I,,2,,12.78041805,106.4393746,Cambodia,,,,,
Prek Kampi II,,6,,12.61684659,106.2179986,Cambodia,,,,,
Prek Krieng I,,8,,12.9431762,106.5269406,Cambodia,,,,,
Prek Krieng II,,6,,12.96545179,106.3221431,Cambodia,,,,,
Prek Liang I,,70,,14.31413064,107.2891438,Cambodia,Korea,Study Underway,,,
Prek Liang IA,,11,,14.19088644,107.2503189,Cambodia,,,,,
Prek Liang II,,50,,14.43170516,107.3565642,Cambodia,Korea,Study Underway,,,
Prek Por I,,17,,12.46108529,107.4232497,Cambodia,,,,,
Prek Por II,,8,,12.69276262,107.4481835,Cambodia,,,,,
Prek Por III,,9,,12.82448154,107.4769118,Cambodia,,,,,
Prek Rwei I,,7,,12.73734314,107.2678652,Cambodia,,,,,
Prek Rwei II,,5,,12.96742859,107.248882,Cambodia,,,,,
Prek Ter I,,17,,12.51546874,106.7305233,Cambodia,,,,,
Prek Ter II,,10,,12.54437384,106.3992731,Cambodia,,,,,
Prek Ter III,,13,,12.39631887,106.2274632,Cambodia,,,,,
Prek Thnot,,18,,11.46619315,104.3468169,Cambodia,,,,,
